file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
160.msg,1,0,0,19,99,00000000,One of the column section is engraved with a picture of a whale and a boy. The boy seems to be performing some sort of operation on the whale.    ,יש חריטה של לווייתן וילד על אחד מחלקי העמוד. נראה שהילד מבצע הליך רפואי כלשהו בלווייתן.,,
160.msg,1,0,0,20,99,00000000,Wow! The gold mask fell right off of the mural! It must have happened when the columns set into place and the room shifted!  ,וואו! מסכת הזהב נפלה מציור הקיר! זה כנראה קרה כשהעמודים נעו למקומם והחדר זז!,,
160.msg,1,0,0,21,99,00000000,Hmmm. It's a little hermit crab. He must have been inside the mask  when it fell. He appears quite upset.    ,המממ. זה סרטן נזיר קטן. הוא בטח היה בתוך המסכה כשהיא נפלה. הוא נראה די נסער.,,
160.msg,1,0,0,22,99,00000000,Maybe Adam should talk to him instead - the hermit crab might not like being picked up.   ,אולי עדיף שאדם ידבר איתו במקום זאת - אולי הסרטן לא אוהב שמרימים אותו.,,
160.msg,1,0,0,23,99,00000000,That won't help the hermit crab.  ,זה לא יעזור לסרטן הנזיר.,,
160.msg,1,0,0,24,99,00000000,Superfluous is a hermit crab. Hermit crabs move from shell to shell as they outgrow their old ones (like getting a new pair of shoes)!   ,סופרפלואוס הוא סרטן נזיר. סרטני נזיר עוברים לקונכיה חדשה כשהישנה נעשית קטנה מדי למידתם (כמו לקבל זוג נעליים חדשות)!,,
160.msg,1,0,0,26,99,00000000,On the floor is the gold mask that once covered the Great Senator's face. The mask is made of beaten gold and is fit for a king.    ,על הרצפה מונחת מסכת הזהב שכיסתה פעם את פניו של הסנאטור הגדול. המסכה עשויה מזהב רקוע וראויה למלך.,,
160.msg,1,0,0,27,99,00000000,"Adam doesn't want to disturb Superfluous' mask. He might ask Superfluous to come out, though.  ","אדם לא רוצה להפריע למסכה של סופרפלואוס. עם זאת, הוא עשוי לבקש ממנו לצאת החוצה.",,
160.msg,1,0,0,28,99,00000000,A mural of Greek Senators highlights the back wall of the Council Chambers. ,ציור קיר של סנאטורים יוונים מפאר את הקיר האחורי של אולם המועצה.,,
160.msg,1,0,0,29,99,00000000,The booming voice seems to come from nowhere.  ,הקול הרועם כאילו מגיע משום מקום.,,
160.msg,1,0,0,30,99,00000000,The column piece locks into place.  ,חלק זה של העמוד ננעל במקומו.,,
160.msg,1,0,0,31,99,00000000,The last column piece shifts into place.  Adam feels the water tremble...  ,החלק האחרון של העמוד ננעל במקומו. אדם מרגיש את רעד המים...,,
160.msg,1,0,0,32,99,00000000,The columns on the left of the Council Chambers now match the columns on the right. ,העמודים מצד שמאל של אולם המועצה תואמים כעת לעמודים מצד ימין.,,
160.msg,1,0,0,33,99,00000000,"Though seeing no one in the room, Adam tentatively calls out...","למרות שאינו רואה אף אחד בחדר, אדם קורא בהיסוס...",,
160.msg,1,0,0,34,99,00000000,The room shakes as the building settles down on the columns!  The gold mask is knocked from the wall!     ,האולם רועד כולו בזמן שהמבנה מתיישב על העמודים. מסיכת הזהב נשמטת מהקיר.,,
160.msg,1,0,0,35,99,00000000,A dazed hermit crab stumbles from the fallen mask.,סרטן נזיר המום מדדה החוצה מתוך המסכה שנפלה.,,
160.msg,1,0,0,36,99,00000000,That piece has locked into place and now matches it's corresponding piece in the columns on the opposite wall.    ,חלק זה ננעל במקומו ועכשיו תואם את החלק המתאים לו בעמודים בקיר הנגדי.,,
160.msg,1,0,1,1,99,00000000,The columns are now perfectly aligned.  Adam doesn't want to mess with perfection. ,העמודים מיושרים כעת בצורה מושלמת. אדם לא רוצה לפגוע בשלמות.,,
160.msg,1,0,1,2,99,00000000,"That mask belongs to the hermit crab. If Adam wants it, he'll have to earn it. ","המסכה הזו שייכת לסרטן הנזיר. אם אדם רוצה אותה, הוא יצטרך להרוויח אותה.",,
160.msg,1,0,1,3,99,00000000,There's no one there to give the shell to. ,אין כאן אף אחד שאפשר לתת לו את הקונכיה.,,
160.msg,1,0,1,4,99,00000000,The column piece locks into place. It now matches the corresponding column piece on the right side of the Council Chambers.      ,חלק העמוד ננעל במקומו. כעת הוא תואם לחלק העמוד המקביל בצד הימני של אולם המועצה.,,
160.msg,1,0,1,5,99,00000000,The Council Chambers floor is decorated with a large inlaid star.  ,רצפת אולם המועצה מעוטרת בכוכב גדול ומשובץ.,,
160.msg,1,0,1,6,99,00000000,The ceiling of the Council Chambers is open to the sea as it once was open to the night sky. ,"תקרת אולם המועצה פתוחה אל הים, כשם שבעבר היתה פתוחה אל שמי הלילה.",,
160.msg,1,0,1,7,99,00000000,Adam can leave the Council Chambers the way he came in. ,אדם יכול לעזוב את אולם המועצה באותה דרך שבה נכנס.,,
160.msg,1,0,1,8,99,00000000,"The mural of the Senators is interesting to look at, but Adam can't do anything with it.  ","ציור הקיר של הסנאטורים מעניין, אך אין לאדם מה לעשות איתו.",,
160.msg,1,0,1,9,99,00000000,There's nothing to do with the floor. Adam can't break dance under the ocean - not enough gravity.  ,אין מה לעשות עם הרצפה. אדם לא יכול לרקוד ברייק-דאנס מתחת לפני הים - אין מספיק כוח משיכה בשביל זה.,,
160.msg,1,0,1,10,99,00000000,The columns on the right side of the Council Chambers are already aligned and Adam doesn't need to move them.   ,העמודים בצידו הימני של אולם המועצה כבר מסודרים. אדם לא צריך להזיז אותם.,,
160.msg,1,0,1,11,99,00000000,The gold mask looks much too important and valuable to throw away! ,מסיכת הזהב נראית חשובה ויקרה מדי מכדי להשליכה לשק המחזור!,,
160.msg,1,0,1,12,99,00000000,There is no garbage in the Council Chambers. ,אין כל אשפה באולם המועצה.,,
160.msg,1,0,1,13,99,00000000,The gold mask can't talk! ,מסיכת הזהב אינה יכולה לדבר!,,
160.msg,1,0,1,14,99,00000000,Adam doesn't see anyone there to give the shell to.,אדם לא רואה כאן אף אחד שאפשר לתת לו את הקונכיה.,,
160.msg,1,0,1,15,99,00000000,The Council Chamber columns have great symbolic meaning and are hardly garbage bag material.,לעמודים שבאולם המועצה יש משמעות סמלית רבה. הם רחוקים מאד מלהיות פיסת אשפה למחזור.,,
160.msg,1,0,1,16,99,00000000,"Adam can't do anything with the columns, at least not now.","אדם לא יכול לעשות דבר עם העמודים, לפחות לא כרגע.",,
160.msg,1,0,1,17,99,00000000,That won't help Adam solve the challenge of the columns. ,זה לא יסייע לאדם לפתור את אתגר העמודים.,,
160.msg,1,0,1,18,99,00000000,Adam doesn't need to mess with the floor of the Council Chambers. ,אדם לא צריך להתעסק עם רצפת אולם המועצה.,,
160.msg,1,0,1,19,99,00000000,"Afraid that the voice might grow angry, Adam decides to finally reply.","מתוך פחד להרגיז את הקול, אדם מחליט לבסוף לענות.",,
160.msg,1,0,1,20,99,00000000,The Mayor is too dignified to be toyed with.,ראש העיר הוא מכובד מדי מכדי להשתעשע איתו.,,
160.msg,1,0,1,21,99,00000000,Adam thinks about the Great Senator's column challenge:  ,אדם חושב על אתגר העמודים של הסנטור הגדול:,,
160.msg,1,0,1,22,99,00000000,"If Adam wants to talk to someone, he can talk to the hermit crab.","אם אדם רוצה לשוחח עם מישהו, הוא יכול לשוחח עם סרטן הנזיר.",,
160.msg,1,0,1,23,99,00000000,Adam doesn't need to mess with the hermit crab's mask right now.,אדם לא צריך להתעסק עם המסיכה של סרטן הנזיר כרגע.,,
160.msg,1,0,1,24,99,00000000,Adam might want to ask the hermit crab what he needs before he starts giving things to him.,"אולי כדאי לאדם לשאול את סרטן הנזיר מה הוא צריך, לפני שהוא מתחיל לתת לו דברים.",,
160.msg,1,0,1,25,99,00000000,Sometime later... ,זמן מה מאוחר יותר...,,
160.msg,1,0,1,26,99,00000000,The column's top and base do not move. ,תחתית ובסיס העמוד לא זזים.,,
160.msg,2,0,0,1,5,00000000,"""HALT! Who DARES enter the Chambers of the GREAT SENATOR?""",עצור! מי מעז להיכנס לאולמו של הסנאטור הגדול?,,
160.msg,2,0,0,2,5,00000000,"""I SAID, who DARES enter the Chambers of the GREAT SENATOR?""","אמרתי, מי מעז להכינס ללשכת הסנאטור הגדול?",,
160.msg,2,0,0,3,5,00000000,"""I AM ME. Which is to say <Ahem>, the GREAT SENATOR. Tremble before me.""   ","אני הוא אני. שזה בעצם אומר <אהם>, הסנאטור הגדול. רעד מפני.",,
160.msg,2,0,0,4,5,00000000,"""Adam? I know of no Elurians named Adam... <EEK!> You're HUMAN! A SON OF MAN? HERE? Where is that blasted blubber farm of a whale?!""   ",אדם? אני לא מכיר אלוריינים בשם אדם... <איק!> אתה אנושי! בן של אדם? כאן? איפה הלוויתן השמנוני הזה?,,
160.msg,2,0,0,5,5,00000000,"""Of course, Cetus! But I didn't say `blasted blubber farm of a whale'. Not me! I never said that <gulp>. `Benevolent, impressively large whale' is what I actually said.""  ","כמובן, סיטוס! אבל לא אמרתי 'גוש שומן לוויתני ארור'. לא אני! מעולם לא אמרתי את זה <בולע רוק>. 'לוויתן טוב לב וגדול להפליא', זה מה שאמרתי, למעשה.",,
160.msg,2,0,0,6,5,00000000,"""I KNOW THAT!!! Alas, poor Eluria! Cetus has vanished. For lo many days, Cetus is gone. Only Poseidon knows where he has hithered to.""   ","אני יודע את זה!!! אוי ואבוי, אלוריה המסכנה! סיטוס נעלם. במשך ימים רבים, סטוס איננו. רק פוסידון יודע אנה הוא בא.",,
160.msg,2,0,0,7,5,00000000,"""Help?  You?  The GREAT SENATOR needs no help.  The GREAT SENATOR has not acted because HE is still pondering the situation.  If YOU'RE so smart, try solving the challenge of the columns!""","עזרה? אתה? הסנאטור הגדול לא זקוק לעזרה. הסנאטור הגדול לא פעל עד כה כי הוא עדיין מהרהר במצב. אם אתה כל כך חכם, נסה לפתור את אתגר העמודים!",,
160.msg,2,0,0,8,5,00000000,"""I can't handle it! I can't <sob>! I tried, but no one will listen to me! No one cares! Oh, boo! Boo hoo!""  ","אני לא מסוגל להתמודד עם זה! אני לא יכול <בכי>! ניסיתי, אבל אף אחד לא מקשיב לי! לאף אחד לא אכפת! אוי, בו! בו-הו!",,
160.msg,2,0,0,9,5,00000000,"""I'm the Great Senator - I mean... oh, I'm a nobody! Boo-hoo! I'm a failure! Boo-hoo-dee-hoo!""  ","אני הסנטור הגדול - כלומר... אוי, אני אף אחד! בו-הו! אני כישלון! בו-הו-די-דו!",,
160.msg,2,0,0,10,5,00000000,"""My name is Superfluous. I've always been the Mayor, but I never actually had to DO anything. Cetus took care of it all, you see. Now he's gone and I ought to do SOMETHING, but I don't know what!""   ","השם שלי הוא סופרפלואוס. תמיד הייתי ראש העיר, אבל מעולם לא הייתי צריך ממש לעשות משהו. סיטוס טיפל בהכל, אתה מבין. עכשיו הוא נעלם ואני אמור לעשות משהו, אבל אני לא יודע מה!",,
160.msg,2,0,0,11,5,00000000,"""Oh, they won't listen! Why do you think I pretended to be the Great Senator? They might have respected HIM! But NO! They're all huddled in their homes! Scared! They won't come out for a meeting!""   ","אוי, הם לא יקשיבו! למה אתה חושב שהעמדתי פנים שאני הסנטור הגדול? הם אולי היו מכבדים אותו! אבל לא! הם כולם ספונים בבתים שלהם! מפחדים! הם לא ייצאו בשביל אסיפה.",,
160.msg,2,0,0,12,5,00000000,"""Why should they listen to you - a human boy? Why, I don't even trust you! No, sorry. I don't think it would work. It would be nice if it could, though."" ","למה שיקשיבו לך - ילד אנושי? הרי אפילו אני לא סומך עליך! לא, צר לי. אני לא חושב שזה יעבוד. אם כי היה יכול להיות נחמד אם זה היה עובד.",,
160.msg,2,0,0,13,5,00000000,"""Oh, Adam, you did it! Because of you, we Elurians are ready to help ourselves! The new Clean-Up Committee will keep the dangerous garbage from building up around the city, and the Flesh-Eater Watch will sound the alarms whenever that horrible monster gets close.""    ","הו, אדם, עשית זאת! בזכותך, אנו האלוריאנים מוכנים לעזור לעצמנו! ועדת הניקיון החדשה תמנע מהזבל המסוכן להצטבר ברחבי העיר, ומשמר אוכל-הבשר ישמיע אזעקה בכל פעם שהמפלצת האיומה הזו תתקרב.",,
160.msg,2,0,0,14,5,00000000,"""And thanks to your little lesson, we know a lot more about the dangers of human garbage - and how to avoid them.""  ","ובזכות השיעור הקטן שהעברת לנו, אנחנו יודעים הרבה יותר על סכנות האשפה האנושית - וכיצד להימנע מהן.",,
160.msg,2,0,0,15,5,00000000,"""Well, when you return to your world, just remember that feeling and maybe you can help things get better someday."" ","ובכן, כשתשוב לעולמך, זכור את ההרגשה הזו, ואולי תוכל לעזור לדברים להשתפר יום אחד.",,
160.msg,2,0,0,16,5,00000000,"""For now, why don't you take this gold mask as a sign of our gratitude. I don't need it anymore. The citizens seem to actually listen to me as little old Superfluous. The GREAT SENATOR is gone for good.""   ","לעת עתה, מדוע שלא תיקח את מסכת הזהב הזו כאות להכרת התודה שלנו. אני לא צריך אותה יותר. נראה שהאזרחים ממש מקשיבים לי בתור סופרפלואוס הקשיש. הסנאטור הגדול איננו!",,
160.msg,2,0,0,17,5,00000000,"""What...?  Oh, it's only you. I told you, I don't trust a human boy, and I don't think the citizens will either. So far, you've done nothing to change my mind.""     ","מה...? אה, זה רק אתה. אמרתי לך, אני לא סומך על ילדים אנושיים, ואני לא חושב שגם האזרחים ייסמכו עליך. עד כה, לא עשית דבר כדי לשנות את דעתי.",,
160.msg,2,0,0,18,5,00000000,"""Oh, Adam. I see you're still working on the citizens. Keep at it, boy."" ","אה, אדם. אני רואה שאתה עדיין עובד על שכנוע האזרחים לבוא. אל תתייאש, ילד.",,
160.msg,2,0,0,19,5,00000000,"""Why how thoughtful. It looks like a nice shell, too, but I'm afraid I can't live in all that tar. The toxins would soak into my sensitive underskin and kill me within days.""   ","הו, כמה מתחשב מצדך. היא נראית מאד נחמד, אבל אני חושש שלא אוכל לחיות בתוך כל הזפת הזו. הרעלים ייספגו לתוך תת-העור הרגיש שלי ויהרגו אותי תוך ימים.",,
160.msg,2,0,0,20,5,00000000,"""Well <sniff>, what can you expect from a human?""","נו <מושך באפו>, למה כבר אפשר לצפות מבן-אנוש?",,
160.msg,2,0,0,21,5,00000000,"""Oh, a nice clean shell! Thank you, it's ever so roomy! But why would a human boy do such a thing?"" "," הו, איזו קונכיה נקייה ויפה! תודה רבה, היא מרווחת כל-כך! אבל מדוע שילד אנושי יעשה בשבילי דבר כזה? ",,
160.msg,2,0,0,22,5,00000000,"""Nice fit! I don't know how to thank you! You know, maybe the citizens would listen to you after all. Oh, if only you could get them to come here... why! <sniff>, maybe together we could all think of a way to save ourselves.""  ","זה מתאים! אני לא יודע איך להודות לך! אתה יודע, אולי בכל זאת האזרחים יקשיבו לך. הו, אם רק היית יכול לגרום להם לבוא לכאן... היי! <מושך באפו>, אולי ביחד נוכל כולנו לחשוב על דרך להציל את עצמנו.",,
160.msg,2,0,0,23,5,00000000,"""Off with you then. And don't let me down, son.""","עכשיו לך לשלום, ילד, ואל תאכזב אותי!",,
160.msg,2,0,0,24,5,00000000,"""Boo HOO. Oh, BOO HOO!""","בווו הווו! הו, בווו הווו!",,
160.msg,2,0,0,25,5,00000000,"""Not that I can blame them. Here I sit with a shell so tight I'm about to burst and I'm too scared to go out and find a new one. BOO-HA-HA!""    ",לא שאני יכול להאשים אותם. הנה אני יושב לי עם קונכייה כל כך הדוקה שהיא עומדת להתפקע ואני מפחד מכדי לצאת החוצה ולחפש חדשה. בו-הא-הא!,,
160.msg,2,0,0,26,5,00000000,"""Goodbye now.  I must go back to my pondering.""",להתראות. עליי לחזור להרהוריי.,,
160.msg,2,0,0,27,5,00000000,"""What more can I say to you, human child?""","מה עוד אוכל לספר לך, ילד אנושי?",,
160.msg,2,0,0,28,5,00000000,"""Oh, that dirty thing. <sniff> I told you I can't use it with all that oil and tar on it like that.""  ","אוי, הדבר המלוכלך הזה. <מושך באפו> אמרתי לך שאני לא יכול להשתמש בו עם כל השמן והזפת האלה עליו.",,
160.msg,2,0,0,29,5,00000000,"""I tell you what! I'll give you a deputy badge if you'll agree to help me get the citizens here for a council meeting.""  ",אגיד לך מה! אתן לך תג 'סגן' אם תסכים לעזור לי להביא את האזרחים לכאן לישיבת מועצה.,,
160.msg,2,0,0,30,5,00000000,"""Here. Here's the badge. Now off with ya, son, and don't let me down!""    ","הנה. הנה התג. עכשיו לך לשלום, ילד, ואל תאכזב אותי!",,
160.msg,2,0,0,31,5,00000000,"""Great Cetus maketh the food plentiful and the city pure. He banisheth the sharks and conger aliketh, he maketh the water clear and filtereth the yuckey stuff. Oh, and he maketh us cleanseth behind our gills.""       ","סיטוס הגדול דואג כי האוכל יהא בשפע ועירנו תהא טהורה. הוא מגרש את הכריש ואת הצלופח כאחד. הוא הופך את המים לצלולים ומסנן את האיכסה. אה, והוא מוודא שננקה גם מאחורי הזימים.",,
160.msg,2,0,0,32,5,00000000,"""But fear not, for the GREAT SENATOR  will personally see to it that Eluria, great kingdom, survives.""   ","אך אל חשש, כי הסנטור הגדול ידאג באופן אישי שאלוריה, הממלכה הדגולה, תשרוד.",,
160.msg,2,0,0,33,5,00000000,"""And now I will answer no more questions, human boy.  The GREAT SENATOR will now stay silent and silently ponder.""           ","ועכשיו לא אענה על שאלות נוספות, ילד אנושי. הסנאטור הגדול ישתוק עכשיו ויהרהר בשקט.",,
160.msg,2,0,0,34,5,00000000,"""I trust you're joking about throwing me away, though since you're human, I'd believe anything <sniff>.""   ","אני מניח שאתה צוחק על כך שאתה תזרוק אותי, אם כי מכיוון שאתה בן-אנוש, הייתי מאמין להכל <מושך באפו>.",,
160.msg,2,0,0,35,5,00000000,"""My shell might be too small, but I'm not an invalid! Save it for something really important.""","הקונכיה שלי אולי קטנה מדי, אבל אני לא נכה! שמור אותה למשהו חשוב באמת.",,
160.msg,2,0,0,36,5,00000000,"""Find the one that turns no other,
Make it match its right-hand brother.
Repeat until all nine are done,
And the Council's favor you'll have won.""  ","מצאו את האחד שלא הופך שני,
הפכו אותו לתאומו מצידו הימני.
חזורו על כך עד שכל התשעה סיימו,
ובטובת המועצה במהרה תזכו.",,
160.msg,3,0,0,1,3,00000000,"""Who... who are you?""",מי... מי אתה?,,
160.msg,3,0,0,2,3,00000000,"""Oh. Well, okay. I'm Adam. Delphineus brought me here to help.""  ","אה. טוב, בסדר. אני אדם. דלפיניוס הביא אותי לכאן לעזור.",,
160.msg,3,0,0,3,3,00000000,"""What whale? You mean Cetus?""",איזה לוויתן? אתה מתכוון לסיטוס?,,
160.msg,3,0,0,4,3,00000000,"""But Cetus is missing.""",אבל סיטוס נעלם.,,
160.msg,3,0,0,5,3,00000000,"""How will you replace Cetus, Great Senator?  Things look a mess to me.  Maybe I could help.""  ","איך תמצאו מחליף לסיטוס, הו סנאטור גדול? נראה שיש פה בלאגן. אולי אני יכול לעזור?",,
160.msg,3,0,0,6,3,00000000,"""Who are you?""",מי אתה?,,
160.msg,3,0,0,7,3,00000000,"""Well, why were you hiding in the mask?""","טוב, למה התחבאת בתוך המסכה?",,
160.msg,3,0,0,8,3,00000000,"""Well, gosh, you need to call a meeting or something. Get everyone to help."" ","טוב, בחיי, אתה צריך להכריז על אסיפה או משהו. לשכנע את כולם לעזור.",,
160.msg,3,0,0,9,3,00000000,"""Well, maybe I can get the citizens to come out.""","טוב, אולי אני אוכל לשכנע את האזרחים לצאת החוצה.",,
160.msg,3,0,0,10,3,00000000,"""I wish I could do more. I wish I could stop all this stuff from bothering you at all!"" ",הלוואי שיכולתי לעשות יותר. הלוואי שיכולתי למנוע מכל הדברים האלה להפריע לכם לחלוטין!,,
160.msg,3,0,0,11,3,00000000,"""Thanks, Superfluous - I mean, Mr. Mayor.""","תודה, סופרפלואוס - כלומר, אדוני ראש העיר.",,
160.msg,3,0,0,12,3,00000000,"""What do you mean?""",למה אתה מתכוון?,,
160.msg,3,0,0,13,3,00000000,"""How do we start?""",אז מאיפה נתחיל?,,
160.msg,3,0,0,14,3,00000000,"""I found you a new shell. You said your old one was pinching you."" ",מצאתי לך קונכיה חדשה. אמרת שהישנה צובטת אותך.,,
160.msg,3,0,0,15,3,00000000,"""Oh. I'm sorry.""","אוי, סליחה.",,
160.msg,3,0,0,16,3,00000000,"""I told you, I want to help Eluria.""","אמרתי לך, אני רוצה לעזור לאלוריה.",,
160.msg,3,0,0,17,3,00000000,"""Superfluous, come out!""","סופרפלואוס, צא החוצה!",,
160.msg,3,0,0,18,3,00000000,"""Superfluous! Come out and see what I brought you!""","סופרפלואוס, צא החוצה ותראה מה הבאתי לך!",,
160.msg,3,0,0,19,3,00000000,"""I'll do my best, Mr. Mayor."" ","אעשה כמיטב יכולתי, אדוני ראש העיר.",,
160.msg,3,0,1,6,3,00000000,"""Whoa! The column pieces move! Now I wonder what order I should put them in?"" ",וואו! חלקי העמודים זזים! אני תוהה באיזה אופן צריך לסדר אותם עכשיו?,,
160.msg,3,0,1,7,3,00000000,"""I've got some healing potion here from Demeter if you need it."" ",יש לי כאן קצת משיקוי המרפא של דמיטר אם אתה צריך.,,
160.msg,3,0,1,8,3,00000000,"""What challenge of the columns?""   ",איזה אתגר עמודים?,,
160.msg,4,0,0,1,4,00000000,"""Whew! Eluria is safe... for the moment."" ",פיו! אלוריה בטוחה... לעת עתה.,,
160.msg,4,0,0,2,4,00000000,"""Well, the clean-up crews can't stop that horrid green ooze in the water - and  Flesh-Eater will keep haunting us. And then there's our food supply <sigh>...""    ","טוב, צוותי הניקיון לא יכולים לעצור את הרפש הירוק הנורא הזה במים - ואוכל-בשר ימשיך לרדוף אותנו. ויש גם את עניין אספקת המזון שלנו <אנחה>...",,
160.msg,4,0,0,3,4,00000000,"""Remember, the Oracle wanted to see you again. Let's see what she has to say.""   ","הנביאה ביקשה לראות אותך שוב, זוכר? בוא נראה מה יש לה להגיד.",,
160.msg,4,0,0,4,4,00000000,"""I think we still have to find Cetus, Adam.  Now that the city is okay for a while, I think it's time to go search for him.""    ","אני חושב שאנחנו עדיין צריכים למצוא את סיטוס, אדם. עכשיו, כשהעיר בסדר לעת עתה, אני חושב שהגיע הזמן להתחיל לחפש אותו.",,
180.msg,1,0,0,1,3,00000000,"""Don't worry, coral. This is fertilizer solution from my dad's lab. I'm not sure if it will help you, but without it you'll die for sure.""  ","אל דאגה, אלמוג. תמיסת הדשן הזו היא מהמעבדה של אבא שלי. אני לא בטוח שהיא תעזור, אבל בלעדיה אתה תמות בוודאות.",,
180.msg,1,0,0,2,3,00000000,"""OUCH!""",אווץ'!,,
180.msg,1,0,0,3,3,00000000,"""I just put some solution on the coral that will create bacteria to eat up the oil. I only meant to help. I felt so sorry for the poor coral.""     ",בסך הכל שמתי קצת תמיסה על האלמוגים שתיצור חיידקים שיאכלו את הזפת. התכוונתי רק לעזור. כל-כך ריחמתי על האלמוג המסכן.,,
180.msg,1,0,0,4,3,00000000,"""My name is Adam. But it's not magic - just science. Who are you?""  ",שמי אדם. אבל זה לא קסם - זה מדע. מי את?,,
180.msg,1,0,0,5,3,00000000,"""What will you do when the plants are gone?""    ",מה תעשו כשכל הצמחייה תיכחד?,,
180.msg,1,0,0,6,3,00000000,"""Well, I came here with Delphineus. We're going to try to help save the city - and maybe find Cetus.""       ","ובכן, באתי לכאן עם דלפיניוס. אנחנו מתכוונים לנסות לעזור לעיר - ואולי למצוא גם את סיטוס.",,
180.msg,1,0,0,7,3,00000000,"""What is this?""       ",מה זה?,,
180.msg,1,0,0,8,3,00000000,"""Thank you for this gift, Demeter.""      ","תודה לך על המתנה הזאת, דמיטר.",,
180.msg,1,0,0,9,3,00000000,"""Hello!  Anybody in there?""  ",שלום! מישהו שם?,,
180.msg,1,0,0,10,3,00000000,"""Sorry. I didn't mean it.""",סליחה. לא התכוונתי.,,
180.msg,1,0,0,11,3,00000000,"""Poor coral. I wish there was something I could do to help.""",אלמוג מסכן. הלוואי והיה משהו שהייתי יכול לעשות כדי לעזור.,,
180.msg,1,0,0,12,3,00000000,"""Hope you're feeling better now, coral!""","אני מקווה שאתה מרגיש יותר טוב עכשיו, אלמוג!",,
180.msg,2,0,0,1,18,00000000,"""What are you doing to my coral, child?!""    ","מה אתה עושה לאלמוג שלי, ילד?!",,
180.msg,2,0,0,2,18,00000000,"""A human? Feeling sympathy for the creatures of the sea?""    ",בן אנוש? שמרגיש אהדה ליצורי הים?,,
180.msg,2,0,0,3,18,00000000,"""Why... you're right! The oil is dissolving! What is your name then, magic one?""     ","אתה צודק! הזפת מתמוססת! מה שמך, אם כך, יצור קסום שכמותך?",,
180.msg,2,0,0,4,18,00000000,"""I'm the Guardian of the Greens, but you can call me Demeter. It is my job to tend the Royal Gardens and insure that the city has plenty of plants to eat. But, as you can see, my garden is all but dead."" ","אני שומרת הגנים, אבל אתה יכול לקרוא לי דמיטר. תפקידי הוא לטפל בגינות המלכותיות, ולהבטיח שיש לעיר מספיק צמחים לאכול. אבל, כפי שעיניך רואות, הגינה שלי כמעט מתה.",,
180.msg,2,0,0,5,18,00000000,"""If only Cetus were here. The coral misses him so. You know, they shaped themselves like this in homage to him. If only I knew Cetus was somewhere safe, I could be content with this lot.""        ","לו רק סיטוס היה כאן. האלמוגים כל-כך מתגעגעים אליו. אתה יודע, הם עיצבו את עצמם כך כמחווה עבורו. אם רק הייתי יודעת שסיטוס נמצא במקום בטוח, הייתי יכולה להסתפק בזה.",,
180.msg,2,0,0,6,18,00000000,"""You would do that, human child? Perhaps that's just what we need - someone who knows the mysteries of man and the poisons he puts in the sea. Here, take this with you.""        ","היית עושה זאת בשבילנו, ילד-אנוש? אולי זה בדיוק מה שאנחנו צריכים - מישהו שמכיר את מסתורי האדם ואת הרעלים שהוא שם בים. הנה, קח את זה איתך.",,
180.msg,2,0,0,7,18,00000000,"""It is the last of my healing potion. It has a great power to heal. I used to make it from over thirty rare sea plants, but most of them are extinct now - killed off by poisons. There'll be no more potion.""      ","זהו שיקוי המרפא האחרון שלי. יש לו כוח ריפוי רב. פעם נהגתי להכין אותו מיותר משלושים מינים נדירים של צמחי ים, אבל רובם נכחדו כבר - חוסלו על ידי רעלים. לא יהיו יותר שיקויים.",,
180.msg,2,0,0,8,18,00000000,"""Use it wisely, human child. And may Poseidon watch over you.""       ","השתמש בה בתבונה, ילד-אנוש. מי יתן ופוסיידון ישמור עליך.",,
180.msg,2,0,0,9,18,00000000,"""I asked, what have you done to my coral?"" ",שאלתי מה עשית לאלמוג שלי!,,
180.msg,2,0,0,10,18,00000000,"""Well! I thought humans had the power of speech, but I guess I was wrong!"" ","אני חשבתי שבני אדם יכולים לדבר, אבל מתברר שטעיתי!",,
180.msg,2,0,0,11,18,00000000,"""Oh, you again. Are you back to hurt my coral again?""      ","אה, אתה שוב. חזרת כדי לפגוע באלמוג שלי?",,
180.msg,2,0,0,12,18,00000000,"""We will be forced to leave Eluria... or die here.  I'm not sure which is a worse fate.""  ",אנו ניאלץ לעזוב את אלוריה... או שנמות כאן. איני בטוחה איזה גורל גרוע יותר.,,
180.msg,2,0,0,13,18,00000000,"""The potion does not work on my poor garden. Perhaps you will find a good use for it on your quest to save the city.""                ",השיקוי לא עובד על הגינה המסכנה שלי. אולי תמצא לו שימוש טוב יותר במסע שלך להציל את העיר.,,
180.msg,2,0,0,14,18,00000000,"""Well! I've never been so insulted in my life! Next you'll be wanting to put me in a pot of water!""  ",ובכן! מעולם לא העליבו אותי כך! מה הצעד הבא? לשים אותי בדלי מים?!,,
180.msg,2,0,0,15,18,00000000,"""I certainly hope not!""   ",אני בהחלט מקווה שלא!,,
180.msg,2,0,0,16,18,00000000,"""I'm not interested in that, child. I want to know what you have done to my coral!"" ","אני לא מעוניינת בזה, ילד. אני רוצה לדעת מה עשית לאלמוג שלי!",,
180.msg,3,0,1,1,99,00000000,Adam HATES broccoli!,אדם *שונא* ברוקולי!,,
180.msg,3,0,1,2,99,00000000,"With great relief, Adam cans the can of broccoli.","בתחושת הקלה רבה, אדם משמר את פחית הברוקולי בשק המחזור.",,
