"filename","idx","original","translation","הערות","",""
"TheMenuBar.sc","10.0","Space Quest \0B","","","",""
"TheMenuBar.sc","11.0","Restart","","","",""
"TheMenuBar.sc","12.0","Restart","","","",""
"TheMenuBar.sc","13.0","Oops","אופס","","",""
"TheMenuBar.sc","14.0","Bailing Out?","","","",""
"TheMenuBar.sc","15.0","Quit","צא","","",""
"TheMenuBar.sc","16.0","Oops","אופס","","",""
"TheMenuBar.sc","17.0","This game is paused.","","","",""
"TheMenuBar.sc","18.0","Ok. I'm back.","","","",""
"TheMenuBar.sc","19.0","In fact, you don't want your boss to know that you've been playing Space Quest ]I[ for %d hours, %d minutes and %d seconds.","","","",""
"TheMenuBar.sc","20.0","Speed (1 - 16)?","מהירות (1-16)?","","",""
"TheMenuBar.sc","21.0","Volume (1 - 16)?","","","",""
"TheMenuBar.sc","22.0","Turn on","","","",""
"TheMenuBar.sc","23.0","Turn off","","","",""
"User.sc","0.0","Enter input","","","",""
