"room","idx","original","translated","comments",""
"009","4","You are standing on a narrow rail suspended high above the floor of the freighter. A conveyer system below leads to the right grinder. Be careful - it's a long way down.","אתה עומד על מסילה צרה תלויה בגובה רב מעל קרקעית ספינת המטען. מערכת המסוע שמתחת מובילה למשחטה הימנית. זהירות - הנפילה תהיה קשה!","צ: הגהתי",""
"009","5","This conveyer is no place for sight-seeing.","המסוע אינו מצפה תיירותי.","",""
"009","6","You are riding below a narrow rail suspended high above the floor of the freighter. A conveyer belt below leads to a shredder.","אתה רוכב מתחת למסילה צרה התלויה בגובה רב מעל קרקעית ספינת המטען. חגורת המסוע שמתחתיך מובילה למגרסה.","צ: הגהתי",""
"009","7","Right! Get real.","יופי! עכשיו תהיה מציאותי.","",""
"009","8","You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסילה! אתה מת שוב. כל הכבוד. לא דיברנו על משהו?","",""
"009","9","From your seat you see a handle, (presently being gripped by you) which controls Motion, and a button marked CLAW.","ממרום מושבך אתה רואה ידית, (כרגע לפותה על ידך) ששולטת בתנועה, וכפתור שמסומן ""טופר"".","",""
"009","10","You must stop the grabber before claw functions can be executed.","אתה חייב לעצור את הלוכד טרם ניתן יהיה להפעיל את הטופר.","",""
"009","11","That's already being done.","זה כבר נעשה.","",""
"009","12","It looks like something that would cradle your posterior nicely.","נראה כמו משהו שיערסל את אחוריך ברכות.","",""
"009","13","That would be unwise.","זה לא יהיה חכם.","",""
"010","0","The conveyer belt (now empty) transports small piles of debris to the shredder at the end.","חגורת המסוע (ריקה כעת) משנעת ערימות מדודות של פסולת אל המגרסה שבקצה.","",""
"010","1","Small piles of space junk make their way down the conveyer belt to a shredder.","ערימות נמוכות של פסולת חלל עושות את דרכן במורד חגורת המסוע אל עבר לוע המגרסה.","",""
"010","2","The debris here is portioned onto the conveyer which enters from the left. The small piles roll along until they interface with the shredder where, true to its name, all is shredded.","ההריסות נשפכות על המסוע שמתגלגל משמאל. הערימות הקטנות נגללות לאורכו עד שמתממשקות עם המגרסה, אשר כשמה כן היא, גורסת כל.","",""
"010","3","It's way down there and not very pretty.","זאת דרך לא נוחה במיוחד להגיע למטה.","",""
"010","4","The shredder is a mean-looking device. When running, it mercilessly breaks debris down to many smaller pieces of debris.","המגרסה היא מכשיר מרושע למראה. בשעה שפועלת, היא מרסקת ללא רחמים את הפסולת לחתיכות עוד יותר קטנות של פסולת.","צ: הגהתי",""
"010","5","The shredder is a mean-looking device. It mercilessly breaks debris down to many smaller pieces of debris.","המגרסה היא מכשיר מרושע למראה. היא מרסקת ללא רחמים את הפסולת לחתיכות עוד יותר קטנות של פסולת.","צ: הגהתי",""
"010","6","A number of pipes run through the area. They are of no significance.","מספר צינורות חוצים את השטח. הם חסרי משמעות.","",""
"010","7","You are standing on a narrow rail suspended high above the floor of the freighter. A conveyer belt below leads to a grinder. Be careful - it's a long way down.","אתה ניצב על מסילה צרה תלויה בגובה רב מעל קרקעית ספינת המטען. חגורת המסוע מתחתיך מובילה למשחטה. זהירות - הנפילה תהיה קשה.","צ: הגהתי",""
"010","8","This conveyer is no place for sight-seeing.","המסוע אינו מצפה תיירותי.","",""
"010","9","You are riding below a narrow rail suspended high above the floor of the freighter. A conveyer belt below leads to a shredder.","אתה רוכב על מסילה צרה התלויה בגובה רב מעל קרקעית ספינת המטען. חגורת המסוע שמתחתיך מובילה למגרסה.","צ: הגהתי",""
"010","10","You can't climb that.","אינך יכול לטפס על זה.","",""
"010","11","Right! Get real.","נהדר! עכשיו תהיה מציאותי.","",""
"010","12","Don't push it! You made it up here safely. Quit while you're ahead.","אל תגזים! הצלחת להגיע לכאן בשלום. פרוש בשיא.","",""
"010","13","Check again.","בדוק שנית.","",""
"010","14","It's not within your reach.","זה לא בהישג ידך.","",""
"010","15","While it might be tactilly stimulating, your cause won't be furthered.","אף כי החפץ נעים למגע, לגעת בו לא באמת יקדם את המטרות שלך.","לא ברורה לי הכוונה",""
"010","16","That doesn't look like a safe place to jump to.","לא נראה כמו מקום שכדאי לקפוץ אליו.","",""
"010","17","You can't from this position.","אין אפשרות מהמיקום הזה.","",""
"010","18","Shredded like an Iran-Contra document, your many independent parts flutter to the bottom of the hopper. This is of little importance to you, what with your being dead and all.","נגרס כמו מסמך מפרשת איראן-קונטראס, איבריך הקצוצים מפרפרים אל תחתית המיכל. האמת שזה לא כבר ממש מעניין אותך, מאחר ואתה מת וכל זה.","https://he.wikipedia.org/wiki/%D7%A4%D7%A8%D7%A9%D7%AA_%D7%90%D7%99%D7%A8%D7%90%D7%9F-%D7%A7%D7%95%D7%A0%D7%98%D7%A8%D7%90%D7%A1",""
"010","19","You stepped off the conveyer. You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסוע. אתה מת שוב. כל הכבוד. לא דיברנו על משהו?","",""
"010","20","You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסילה! אתה מת שוב. כל הכבוד. לא דיברנו על משהו?","",""
"010","21","From your seat you see a handle, (presently being gripped by you) which controls motion, and a button marked CLAW.","ממרום מושבך אתה רואה ידית, (לפותה כרגע על ידך) ששולטת בתנועה, וכפתור שמסומן ""טופר"".","",""
"010","22","Due to a series of pipelines directly below you, the claw is programmed not to work here.","עקב צנרת שפרוסה היישר מתחתיך, הטופר תוכנת לא לעבוד כאן.","",""
"010","23","It looks like something that would cradle your posterior nicely.","נראה כמו משהו שיערסל את אחוריך ברכות.","",""
"010","24","That would be unwise.","זה לא יהיה חכם.","",""
"011","0","You are standing on a narrow rail suspended high above the floor at the far end of the freighter. It's a long way down to the junk piles below.","אתה עומד על מסילה צרה הפרוסה בגובה רב בקצה הרחוק של ספינת המטען. תהום פעורה בינך לבין הררי הזבל למטה.","צ: הגהתי",""
"011","1","You are riding below a narrow rail suspended high above the floor at the far end of the freighter. It's a long way down to the junk piles below.","אתה רוכב מתחת למסילה צרה הפרוסה בגובה רב בקצה הרחוק של ספינת המטען. תהום פעורה בינך לבין הררי הזבל למטה.","צ: הגהתי",""
"011","2","It's an impressive piece of machinery. Unfortunately you have no idea what it is. Perhaps it is what emitted that tractor beam that brought you here. Or maybe it's some sort of giant trash masher. Or maybe the artist just thought it would look really cool hanging there. Yea, that's it! At any rate, I wouldn't waste any time trying to mess with it.","זו חתיכת מכונה מרשימה. לרוע המזל אין לך מושג מה היא עושה. אולי זה מה שפלט את קרן הגרירה שהביאה אותך לכאן. או אולי מדובר באיזה מועך זבל ענקי. או אולי האמן שצייר את זה פשוט חשב שזה ייראה מגניב מאוד תלוי שם. כן, זהו זה! בכל אופן לא הייתי מבזבז זמן בניסיון להתעסק עם זה.","",""
"011","3","Sure, you're a devil-may-care kinda guy. This one, however, is beyond even your athletic aptitude.","בטח, אתה מסוג האנשים שלא רואים בעיניים. אבל את זה אפילו אתה עם כל האתלטיות שלך לא תהיה מסוגל לעשות.","",""
"011","4","You step on a part of the track which is extremely narrow and greasy. It obviously wasn't designed for human foot travel. It's a quick drop to the unforgiving surface below.","אתה צועד על קטע מסילה צרה ושמנונית במיוחד. ברור שהיא לא תוכננה עבור מדרך כף רגל אנושית. מכאן הנפילה היא קצרה אל פני השטח הבלתי סלחניים שלמטה.","",""
"011","5","You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסילה! אתה מת שוב. כל הכבוד. לא דיברנו על משהו?","",""
"011","6","From your seat you see a handle, (presently being gripped by you) which controls Motion, and a button marked CLAW.","ממרום מושבך אתה רואה ידית, (לפותה כרגע על ידך) ששולטת בתנועה, וכפתור שמסומן ""טופר"".","",""
"011","7","You must stop the grabber before claw functions can be executed.","אתה חייב לעצור את הלוכד טרם ניתן תוכל להפעיל את הטופר.","",""
"011","8","That's already being done.","זה כבר נעשה.","",""
"011","9","It looks like something that would cradle your posterior nicely.","זה נראה כמו משהו שיערסל את אחוריך ברכות.","",""
"011","10","That would be unwise.","זה לא יהיה חכם.","",""
"012","0","There is some light coming from passages through the west wall.","אור קלוש בוקע מהמעברים בכותל המערבי.","",""
"012","1","You are standing on a narrow rail suspended high above the floor of the freighter. It's a long way down to the junk piles below. There are two passages to the west.","אתה ניצב על מסילה צרה הנמתחת בגובה רב מעל פני ספינת המטען. תהום עצומה פעורה מעל הררי האשפה שלמטה. שני מעברים נגלים בצד מערב.","צ: הגהתי",""
"012","2","You are riding below a narrow rail suspended high above the floor of the freighter. It's a long way down to the junk piles below.","אתה רוכב מתחת למסילה צרה הפרוסה בגובה רב מעל פני ספינת המטען. תהום פעורה בינך לבין הררי הזבל למטה.","צ: הגהתי",""
"012","3","You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסילה! אתה מת שוב. כל הכבוד. לא דיברנו על משהו?","",""
"012","4","From your seat you see a handle, (presently being gripped by you) which controls Motion, and a button marked CLAW.","ממרום מושבך אתה רואה ידית, (לפותה כרגע על ידך) ששולטת בתנועה, וכפתור שמסומן ""טופר"".","",""
"012","5","You must stop the grabber before claw functions can be executed.","אתה חייב לעצור את הלוכד טרם ניתן תוכל להפעיל את הטופר.","",""
"012","6","The claw can't operate here.","הטופר לא יכול לפעול כאן.","",""
"012","7","That's already being done.","זה כבר נעשה.","",""
"012","8","It looks like something that would cradle your posterior nicely.","זה נראה כמו משהו שיערסל את אחוריך ברכות.","",""
"012","9","That would be unwise.","זה לא יהיה חכם.","",""
"013","0","It's not a model you've seen before. The droid appears to be dedicated to this work station. It seems harmless enough.","זה לא הדגם שראית קודם. הרובוט הזה מסור כולו לתחנת העבודה. הוא לגמרי בלתי מזיק.","",""
"013","1","It is similar to the one you are currently viewing. The only difference is that you can't read what it says.","הוא דומה לזה שאתה מסתכל עליו כרגע. ההבדל היחיד הוא שאינך מצליח לקרוא מה כתוב עליו.","",""
"013","2","Your view of the grabber from here reveals a Forward/Reverse control stick (currently grasped), and a button marked CLAW.","זווית הראיה שלך מכאן מגלה כי בלוכד ישנו מוט היגוי קדימה/אחורה (כרגע אחוז בידך), ולחצן שעליו נרשם ""טופר"".","",""
"013","3","A grabber hangs beneath a rail. There is a seat for a driver. There is a claw underneath that looks capable of grabbing things.","לוכד תלוי מתחת למסילה. יש בו מושב בודד לנהג. בתחתיתו מותקן טופר שתפקידו לתפוס חפצים. ","",""
"013","4","Your viewing angle doesn't allow that.","זווית הראיה שלך אינה מאפשרת זאת.","",""
"013","5","It's hanging peacefully under the grabber.","הוא תלוי לו בשלווה תחת הלוכד.","",""
"013","6","Your not able to make it out here.","אתה לא יכול לעשות את זה כאן.","",""
"013","7","You are grasping the control stick in your hand.","אתה אוחז בידך במוט ההיגוי.","",""
"013","8","It looks like your standard directional control.","זה נראה כמו בקר כיוון סטנדרטי.","",""
"013","9","The claw looks very much like something which would bear the name 'claw'. A set of opposing appendages is designed to grip an object by applying pressure from about its circumference in the direction of its center.","הטופר נראה כמו אחד שנושא את השם ""טופר"" בגאווה. ערכה של צבתות מנוגדות מעוצבות בקפידה למטרת לכידת עצמים על ידי הפעלת לחץ לכיוון המרכז.","צ: שיניתי לפי ההקשר",""
"013","10","You seem to be covering all available seat surface area making viewing impossible.","נראה כי אתה ממלא כל פיקסל פנוי במושב כך שאינך יכול לראותו.","לא מבין.
צ: הדבקתי את התמונה. זה מענה לפקודה ""look seat"". אז התשובה היא שרוג'ר ממלא את המושב, ולכן בלתי אפשרי לראות את המושב",""
"013","11","It looks like something that would cradle your posterior nicely.","זה נראה כמו משהו שיערסל את אחוריך ברכות.","",""
"013","12","On the south side of the room is a chute. A platform extends from its edge.","בצידו הדרומי של החדר משתרע מדרון. משטח מתפרש מקצהו.","",""
"013","13","On the south side of the room is a chute which leads to who-knows-where. A platform extends from its edge.","בצידו הדרומי של החדר משתרע מדרון שמוביל להשם-יודע-לאן. משטח צמוד אל קצהו.","",""
"013","14","The rail is supported by beams hanging from the ceiling. The grabber hangs below it.","המסילה נתמכת על ידי קורות שיורדות מהתקרה. הלוכד תלוי מתחתיה.","",""
"013","15","The walls are made of metal and very strong composite materials commonly used in spacecraft.","הקירות עשויות ממתכת ומתרכובות של חומרים חזקים מאד אשר נמצאים בשימוש נרחב בתעשיית החלל.","",""
"013","16","In this room the rail makes a U-turn. There is a chute at the bottom. In the middle are panels of monitoring devices being tended to by a droid.","בחדר הזה המסילה מבצעת סיבוב פרסה. בתחתיתו משתרע מדרון. במרכזו מהבהבים לוחות בקרה של מתקני מעקב הנשלטים על ידי רובוט.","",""
"013","17","In this room the rail makes a U-turn. There is a machine here which hangs under the rail. There is a chute at the bottom. In the middle are panels of monitoring devices being tended to by a droid.","בחדר הזה המסילה מבצעת סיבוב פרסה. תחת המסילה תלויה מכונה. בתחתית החדר משתרע מדרון. במרכזו מהבהבים לוחות בקרה של מתקני מעקב הנשלטים על ידי רובוט.","",""
"013","18","The safety light on top of the grabber indicates that it is currently in use.","הנורה המהבהבת בראש הלוכד מציינת שהוא כעת בשימוש.","",""
"013","19","There is a safety light on top of the grabber. It is currently dark.","בראש הלוכד יש נורת בטיחות. היא כבויה כרגע.","",""
"013","20","More metal decking.","עוד ריצוף ממתכת.","",""
"013","21","The ceiling looks closer from up here. It looks no more spectacular, however.","התקרה נראית קרובה יותר מלמעלה. יחד עם זאת, היא לא נראית מלהיבה יותר.","",""
"013","22","It apparently isn't designed to process input from you.","כנראה שזה לא נועד לעבד קלט ממך.","",""
"013","23","You are not equipped to mar this metal moron, nor do you need to.","אין לך ציוד מתאים לחבל באידיוט המתכתי הזה, וגם אין בכך צורך.","",""
"013","24","You aren't able to do that.","אין לך את היכולת לעשות את זה.","",""
"013","25","Go there yourself.","לך לשם אתה בעצמך.","",""
"013","26","Think again.","תחשוב שוב.","",""
"013","27","Not from here.","לא מכאן.","",""
"013","28","Just move as you've been moving.","תמשיך לנוע תוך כדי תנועה.","",""
"013","29","You must bring the grabber to a complete stop before doing that.","עליך להביא את הלוכד למצב של עצירה מוחלטת קודם שתעשה את זה.","",""
"013","30","You're not in a satisfactory location for performing that act.","אתה לא במקום העונה על הדרישות לביצוע פעולה זו.","",""
"013","31","You're not on it.","אתה לא על זה.","",""
"013","32","You really bit the beam, Buckwheat. And there's that lack of regard for organics in action again. I guess they never heard of the warning shot concept around here. Anyway, you're dead.","באמת נדפק לך הראש, ראש כרוב. ויש את עניין החוסר התחשבות ביצורים אורגניים, שמכה שנית. אני מניח שהחבר'ה פה לא שמעו על הקונספט ""ירי אזהרה"". איך שלא יהיה, אתה מת.","צ: הגהתי",""
"013","33","You stepped off the rail! You're dead again. Way to go. Haven't we taught you anything?","מעדת מהמסילה! אתה מת שוב. כל הכבוד. לא למדת כלום?","",""
"013","34","Plopping into the seat, you grasp the forward/backward control of the grabber.","מתרווח לך במושב, אתה אוחז במוט הקדימה/אחורה בלוכד.","",""
"013","35","The button is programmed not to work in this area.","הכפתור תוכנת לא לעבוד באזור הזה.","",""
"013","36","We haven't seen footwork like that since Gerald Ford! Unfortunately, your fall causes you to make contact with the non-moving deck below. The resulting impact forces the cancellation of your subscription to life.","רגלול כזה לא ראינו מאז ימי ג'רלד פורד! לרוע מזלך, נפילתך הביאה ליצירת קשר הדוק בינך לבין הרציף הנייח שמתחת. הפגיעה שנוצרה כפתה את ביטול מנוי החיים שלך.","",""
"014","0","It's going to take quite awhile at this speed.  You've got time to get up and make a sandwich or wax the car or something.","בקצב הזה זה הולך לקחת הרבה זמן. בינתיים קח את הזמן שלך. תתארגן, תכין כריך, או תשטוף את הרכב אם בא לך.","",""
"014","1","This speed is great for astral combat, but not for jumping across the galaxy.  This could take forever.","המהירות הזאת מעולה לקרב כוכבי, אבל לא לקפיצות מעבר לגלקסיה. זה יקח נצח.","",""
"014","2","With a mighty whump you set the Aluminum Mallard down on the surface of %s.","לקול חבטה אדירה נחתה 'ברוז האלומיניום' על פני %s.","מה עושים פה עם ה-%s בסוף?
צ: פשוט מעתיקים אותו. כתובים משפט בעברית, ובסוף %s.
מקסימום, אני אתקן אח""כ...
צ: אכן תיקנתי, אבל משהו אחר ;-)",""
"014","3","Well, Roger, ya done good!  You managed to rescue the Two Guys and escape from Pestulon alive.  Looks like this'll be a milk run from here on out.","ובכן, רוג'ר, עבודה יפה! הצלחת לחלץ את שני הבחורים ולהימלט על חייך מפסטולון. מכאן ואילך זה יהיה משחק ילדים.","צ: הגהתי",""
"014","4","The ramp is immobilized by the junk it's laying in, so you exit through the hatch instead.","הכבש משותק מרוב הזבל שמקיף אותו, אז פשוט יצאת דרך הצוהר.","צ: הגהתי",""
"014","5","Please do not attempt to disembark until the ride has come to a complete stop!","אנא אל תנסה לרדת קודם שהחללית תגיע לעצירה מלאה!","",""
"014","6","First, you'll need to tear your buttocks away from that pilot's seat.","ראשית, עליך לגרד את עכוזך ממושב הטייס.","",""
"014","7","You don't have a motivator, and there isn't one here.","אין ברשותך מניע שיגור, וגם לא תמצא כאן אחד כזה.","",""
"014","8","It's already closed.","זה כבר סגור.","",""
"014","9","All ship systems are accessed through the pilot's computer.","כל מערכות הספינה נגישות דרך מחשב הטייס.","",""
"014","10","You're already sitting.","אתה כבר יושב.","",""
"014","11","Since the two guys are in the passenger seats, you have no choice but to sit in the pilot seat.","מאחר ושני הבחורים תופסים את מושבי הנוסעים, לא נותרה לך ברירה אלא להתרווח על מושב הטייס.","",""
"014","12","The two passenger seats look quite comfortable. However, the pilot seat is where you'd rather plop your butt.","שני מושבי הנוסעים נראים נוחים למדי. אולם, מושב הטייס הוא זה שבו תצטרך לתקוע את ישבנך.","",""
"014","13","You're already standing.","אתה כבר עומד.","",""
"014","14","Please remain seated while vehicle is in motion.","אנא הישאר במקומך כל עוד כלי הרכב נמצא בתנועה.","",""
"014","15","You don't have any.","אין לך כאלה בכלל.","",""
"014","16","They're so comfortable, you forget that you're already wearing them.","הם כל כך נוחים, שאתה שוכח שאתה כבר לובש אותם.","",""
"014","17","You'll have to stand up for that.","אתה תיאלץ לקום בשביל זה.","",""
"014","18","After figuring out which side is the front, you put on the ThermoWeave underwear.  They power up automatically, keeping you comfy at all temperatures.","אחרי שהצלחת להבין איזה צד הולך מקדימה, אתה לובש את תחתוני התרמו-בד. הם נדלקים אוטומטית, מגנים עליך מפני כל טמפרטורה.","צ: תחתונים זה זכר לדעתי. 'מגינים', 'נדלקים'",""
"014","19","They're so comfortable, you decide to leave them on.","הם כל כך נוחים, שאתה מחליט להשאיר אותם עליך.","",""
"014","20","You're not wearing them.","אתה לא לובש אותם.","",""
"014","21","You'll need to go sit down first.","תצטרך קודם לשבת.","",""
"014","22","Searching around the cushions you find, among variously colored wads of lint, seven buckazoids.","בחיפוש סביב הכריות אתה מוצא, בין אניצי המוך הצבעוניים, שבעה זוזואידים.","",""
"014","23","You find nothing of value.","אינך מוצא דבר בעל ערך.","",""
"014","24","The hole is already exposed.","החור כבר נחשף.","",""
"014","25","The tile is doing a nice job of covering the hole, just leave it alone.","האריח עושה את עבודתו נאמנה ומכסה היטב את החור, פשוט תשאיר אותו שם.","",""
"014","26","But, you're not done in there.","אבל, לא סיימת שם.","",""
"014","27","It's all closed up.","הכל סגור.","",""
"014","28","It seems like everyone ignores you.  You'd think they'd be more grateful.","נראה שכולם מתעלמים ממך. היית מצפה מהם לקצת יותר הכרת הטוב.","",""
"014","29","Your voice echoes thinly off the interior walls.  It gets a little lonely out here, doesn't it?","קולך מהדהד קלושות בין הקירות. מרגיש כאן מעט בודד, לא ככה?","",""
"014","30","You look into the cavity at the reactor.   It's currently non-functional.","אתה מביט אל תוך חלל הכור. הוא לא פעיל כרגע.","",""
"014","31","You look into the cavity.  The wire is firmly attached to cable ends.","אתה מביט לתוך החלל. החוט מחובר היטב לקצוות הכבל.","",""
"014","32","You look into the cavity and notice only two cable ends.  Someone has made off with the ship's power supply.","אתה מציץ פנימה אל תוך החלל ורואה רק שני קצוות של כבל. מישהו הסתלק עם ספק הכוח של החללית.","",""
"014","33","It seems to be the tile which covered the hole in the floor.","נראה שזהו האריח שחיפה על החור ברצפה.","",""
"014","34","There are many of them organized in the shape of a floor.","יש פה המון כאלה מסודרים בצורת רצפה.","",""
"014","35","The floor of the cabin consists mainly of a ramp that is currently shut.  An access panel has been removed to reveal an empty reactor compartment.","ריצפת תא הטייס מורכבת בעיקר מרמפה שכרגע סגורה. לוח הבקרה נעקר ממקומו וחשף מאחוריו תא כור ריק. ","",""
"014","36","The floor of the cabin consists mainly of a ramp that is currently shut.","ריצפת תא הטייס מורכבת בעיקר מרמפה שכרגע סגורה.","",""
"014","37","The control panel contains a computer screen.  All ship systems are accessed through the pilot's computer.","לוח הבקרה כולל צג מחשב. כל מערכות החללית נגישות ממחשב הטייס.","",""
"014","38","The access panel has been removed to reveal an empty reactor compartment.","לוח הבקרה נעקר ממקומו וחשף מאחוריו תא כור ריק.","",""
"014","39","The access panel is firmly in place.","לוח הבקרה מעוגן למקומו.","",""
"014","40","There is no need to look at the computer right now.","אין מה לראות במחשב נכון לעכשיו.","",""
"014","41","The diagnostic computer gives you detailed information about the ship's systems.  However, you'll need to get up to use it.","מחשב האיבחון מספק לך מידע מפורט על מערכות הספינה. עם זאת, יהיה עליך לקום על מנת להשתמש בו.","",""
"014","42","The pilot's computer is dead.","מחשב הטייס שבק חיים.","",""
"014","43","It's your basic spaceship interior wall.","קיר פנימי מהסוג הרווח בתעשיות החלל.","",""
"014","44","The Two Guys from Andromeda are a couple of really hip dudes.  You wish you could be like them.","שני הבחורים מאנדרומדה הם צמד חמד ממש מגניב. אתה חולם יום אחד להיות כמוהם.","",""
"014","45","Nobody here but you, Wilco.","אין כאן איש מלבדך, ווילקו.","",""
"014","46","Yep, that's a seat cushion alright!","כן, זו הכי כרית ישיבה שיש!","",""
"014","47","You are sitting in the pilot's seat of this sporty little ship.  In front of you is the control panel, which contains a computer screen.","אתה יושב על כיסא הטייס בחללית ספורטיבית קטנטונת. מולך נמצא לוח בקרה, שכולל מסך מחשב.","",""
"014","48","Why not go sit down and take a look.","למה שלא תשב ותעיף מבט.","",""
"014","49","You can just see over the trash piled up against the cockpit window.  Above you is the ceiling of the junk freighter.","אתה יכול פשוט לצפות באשפה הנערמת מול חלון הקוקפיט. מעליך נטויה תקרת ספינת הזבל.","",""
"014","50","Gosh!  Isn't it amazing how big a spot those space gnats make when you're traveling at light speed!","אלוהים! מדהים כמה מקום תופסים יתושי החלל האלה כשאתה נוסע במהירות האור.","לא ברור לי מה זה ה-spot הזה שהם עושים
צביקה: מקריאה בקוד: הודעות 49-59 הן תשובה ל ""look pane"" (הבט בשמשה)
ומשתנות בהתאם למיקום החללית.
gnat הוא יתוש.
אני לא בטוח, אבל נראה לי שמנסים להגיד שבנסיעה במהירות האור, אז יתושי החלל תופסים הרבה מקום (they make big spot) [לא זוכר, נראה לי קשור לקטעים של תורת היחסות על נסיעה במהירות קרובה למהירות האור וכו'. ניב, זוכר פיזיקה יותר טוב אולי?]",""
"014","51","Wow, a bunch of stars!  Not exactly a new sight for your space-weary eyes.","וואו, ערימות של כוכבים! לא בדיוק מחזה מרעיש לותיק חלל שכמוך.","",""
"014","52","The happy lights of Monolith Burger entice you to enter.","אורות הניאון הצבעוניים בחזית ""המבורגר מונולית"" מפתים אותך להיכנס.","צ: הגהתי",""
"014","53","You are currently orbiting Ortega.","אתה כרגע חג סביב אורטגה.","",""
"014","54","You are currently orbiting Phleebhut.","אתה כרגע במסלול סביב פליבאט.","",""
"014","55","You are currently orbiting Pestulon.","אתה כרגע מקיף את פסטולון.","",""
"014","56","Outside, the stark surface of Ortega stretches into the distance.  A lava-lovers paradise, to be sure.","בחוץ, פני השטח הגעשיים של אורטגה משתרעים עד מעבר לאופק. גן עדן לחובבי לבה, לכל הדעות.","",""
"014","57","Outside, the desert surface of Phleebhut stretches into the distance.  Countless eons of howling winds have carved this dry planet.","בחוץ, פני השטח המדבריים של פליבאט משתרעים עד מעבר לאופק. דורי דורות של רוחות מייללות חצבו את הכוכב הצחיח הזה.","",""
"014","58","Outside, the strange surface of Pestulon stretches into the distance.  Forces beyond your comprehension seem to have shaped this bizarre world.","בחוץ, פני השטח המשונים של פסטולון משתרעים עד מעבר לאופק. כוחות נשגבים מבחינתך עיצבו את העולם הביזארי הזה.","צביקה: צריך כתיב אחיד ל Pestulon. במקום אחר מישהו כתב עם י'.
לדעתי עדיף כמו פה.
אבל צריך להחליט על צורה אחת, ולעדכן את השאר.",""
"014","59","The window is transparent.","החלון שקוף.","",""
"014","60","The pilot seat is covered in fine Vorlian pseudoleather.  Ergonomically designed to be comfortable yet stylish.","מושב הטייס מחופה מעטה דמוי-עור וורליאני משובח. העיצוב הארגונומי לקח בחשבון את הנוחות לא פחות מאשר האלגנטיות.","",""
"014","61","Yep, there's a bunch of 'em!","כן, יש מהם כמויות!","",""
"014","62","You'll have to go into space for that.","תצטרך לצאת לחלל בשביל זה.","",""
"014","63","Looking up, you see a space docking hatch.","בהביטך מעלה, אתה רואה צוהר עגינת חלל.","",""
"014","64","Through the window you see the ceiling of the junk frieghter.","דרך החלון אתה רואה את תקרת חללית איסוף הזבל.","",""
"014","65","Through the window you see the sky above.","דרך החלון אתה רואה את השמים ממעל.","",""
"014","66","The landing ramp is currently closed.","כבש הנחיתה סגור כעת.","",""
"014","67","The space docking hatch is currently closed.","צוהר עגינת החלל סגור כעת.","",""
"014","68","The button is clearly labeled 'ramp open/close.'","על הלחצן מסומן באותיות קידוש לבנה 'כבש - פתיחה/סגירה'.","צ: הגהתי",""
"014","69","Whoever ripped out the reactor didn't treat the wires too well.  The short cable's end is torn and frayed.","מי שלא יהיה זה שתלש את הכור לא התנהג יפה אל החוטים. קצה הכבל הקצר קרוע ושרוף.","",""
"014","70","The cables are snug in their compartment.","הכבלים מכורבלים בתוך תאם.","",""
"014","71","At first you are surprised at how intact the ship's interior is.   Immediately to your right is a panel with a red button.   At midship on the right wall is the ship's main diagnostic computer.  Directly across are two passenger seats.  Ahead of you is the cockpit.","בהתחלה אתה מופתע עד כמה פנים הספינה נותר שלם ללא כל פגע. ממש לימינך נראה לוח עם כפתור אדום. במרכז הספינה על הכותל הימני מותקן מחשב האיבחון המרכזי. היישר ממול נמצאים שני מושבי הנוסעים. לפניך שוכן הקוקפיט.","",""
"014","72","Immediately to your right is a panel with a red button.  At midship on the right wall is the ship's main diagnostic computer.   Directly across are two passenger seats.   Ahead of you is the cockpit.","ממש לימינך נראה לוח עם כפתור אדום. במרכז הספינה על הכותל הימני מותקן מחשב האיבחון המרכזי. היישר ממול נמצאים שני מושבי הנוסעים. לפניך שוכן הקוקפיט.","",""
"014","73","You already did that.","כבר עשית את זה.","",""
"014","74","You can't install it from here.","אינך יכול להתקין את זה מכאן.","",""
"014","75","That wouldn't do any good.","שום דבר טוב לא ייצא מזה.","",""
"014","76","The reactor is automatic.  Just put it in and forget it!","הכור הוא אוטומטי. פשוט שגר ושכח!","",""
"014","77","You already have it.","כבר יש לך את זה.","",""
"014","78","Now that it's in place, you hate to take it out again.","עכשיו כשהוא כבר במקום, כואב לך לקחת אותו שוב.","",""
"014","79","There's no reactor here.","אין כאן שום כור.","",""
"014","80","No seatbelts here.  The original owner opted for the 'no-frills' package.","לא מאמינים כאן בחגורות בטיחות. הבעלים המקורי בחר להצטנע בחבילה הלא משודרגת.","",""
"014","81","You're not even sitting down!","אתה אפילו לא יושב!","",""
"014","82","It's already open.","זה כבר פתוח.","",""
"014","83","The panel is doing its job nicely, don't mess with it.","הלוח עושה את עבודתו נאמנה, אל תציק לו.","",""
"014","84","But you're not finished in there.","אבל עוד לא סיימת שם.","",""
"014","85","Come on, you wouldn't fit in there!","בחייך, אתה לא תתאים לשם!","",""
"014","86","You drop the reactor into the hole, carefully reconnect the cables, and put the tile back in place.","אתה מניח את הכור בחור, מחבר בזהירות את הכבלים, ומחזיר את האריח למקומו.","",""
