"קובץ","אינדקס","מקור","תרגום","Unnamed: 4"
"3.0","string_42","data retrieval droid","רובוט אחזור מידע",""
"3.0","string_43","data retrieval droid lookStr","",""
"3.0","string_44","holding a cartridge","מחזיק מחסנית",""
"3.0","string_45","empty","ריק",""
"3.0","string_47","Data retreval console","מסוף אחזור מידע",""
"3.0","string_48","This is the operation console of the Data Archive Unit. There is a CRT and chair.","זהו מסוף התפעול של יחידת ארכיב המידע. יש בו צג CRT וכסא.",""
"3.0","string_50","data cartridges","מחסניות מידע",""
"3.0","string_51","The data cartridges are stored in these secure storage modules.","מחסניות המידע מאוחסנות ביחידות האחסון המאובטחות האלה.",""
"3.0","string_53","main computer","מחשב ראשי",""
"3.0","string_54","This is where the sophisticated electronics for the complete Data Archive System are housed.","כאן האלקטרוניקה המתוחכמת של מערכת ארכיב המידע כולה מאוחסנת.",""
"3.0","string_56","These things hanging from the ceiling, which look like blowfish-on-a-rope, are actually lighting fixtures for the operation console.","הדברים האלה שתלויים מהתקרה, שנראים כמו אבו-נפחא על חוט, הם למעשה אביזרי תאורה למסוף התפעול.",""
"3.0","string_58","Through the metallic lattice you glimpse still another hallway below.","דרך הסריג המתכתי אתה רואה בחטף עוד מסדרון מתחת.",""
"30.0","string_0","This is one end of what appears to be a large cavern. The only way to go is to the left.","זה קצה אחד של מה שנראה כמו מערה גדולה. הדרך היחידה ללכת בה היא שמאלה.",""
"30.0","string_2","chunk of sticky stuff","חתיכה של חומר דביק",""
"30.0","string_5","stalagmite chunk","חתיכת זקיף",""
"30.0","string_6","The stalagmite itself has no smell. However, something adhering to the stalagmite does seem to generate a maggot-gagging aroma.","לזקיף עצמו אין ריח. עם זאת, נראה שמשהו שנדבק לזקיף מייצר ניחוח רימות-מבחיל.",""
"30.0","string_7","Hhhaaaachhhh!!! Now why did you have to go and lick the end of that thing! That was terrible! Didn't you get a clue from the nose message?","אייכככססס!!! בשביל מה היית צריך ללקק את הקצה של הדבר הזה! זה היה נוראי! לא קלטת משהו מהודעת האף?",""
"30.0","string_8","Skillfully maneuvering your tongue along the stalagmite removes the surface-coating of grit and, in turn, transforms your tastebuds into the organic equivalent of double-aught sandpaper.","תמרון כשרוני של הלשון שלך על הזקיף מצליח להסיר את ציפוי החצץ, וכתוצאה מכך, בלוטות הטעם שלך הופכות למקבילה האורגנית של נייר זכוכית דו-שכבתי.",""
"30.0","string_13","shattered rock formation","מבנה סלעי מנופץ",""
"30.0","string_15","It looks like your standard, run-of-the-mill pneumatic transport. This particular model only goes down, however. And it's not a pleasant ride.","זה נראה כמו תחבורה פנאומטית סטנדרטית ורגילה. עם זאת, הדגם המסוים הזה רק יורד. וזאת לא נסיעה נעימה.",""
"30.0","string_17","pneumatic transport","תחבורה פנאומטית",""
"30.0","string_18","It looks like your standard run-of-the-mill pneumatic transport. This particular model only descends, however. And it's not a pleasant ride.","זה נראה כמו תחבורה פנאומטית סטנדרטית ורגילה. עם זאת, הדגם המסוים הזה רק יורד. וזאת לא נסיעה נעימה.",""
"30.0","string_20","some stalagmites","כמה זקיפים",""
"30.0","string_22","Stalactites","נטיפים",""
"30.0","string_24","loose gravel","חצץ רופף",""
"300.0","string_1","humanoids","יצורים דמויי אנוש",""
"300.0","string_2","There are a couple of non-galactic looking humanoids cranking out some unfamiliar sounding tunes. They seem interested solely in the music they are performing.","כמה יצורים דמויי אנוש לא-גלקטיים שמפיקים מנגינות לא מוכרות. נראה שהם מתעניינים רק במוזיקה שהם מייצרים.",""
"301.0","string_1","humanoid","יצורים דמויי אנוש",""
"301.0","string_2","On stage, a strangely attired woman performs her act (if that's what you want to call it). You haven't had a girlfriend for a long time (more like forever), but even that's not enough to make her attractive.","על הבמה, אישה לבושה בצורה משונה מבצעת את המופע שלה (אם ככה תרצה לקרוא לזה). כבר הרבה זמן שלא הייתה לך חברה (יותר נכון, נצח), אבל אפילו זה לא מספיק כדי שתיראה מושכת.",""
"302.0","string_3","On stage are two heavily-bearded gents and a relatively clean-shaven drummer. They're one of the hottest bands in the quadrant.","על הבמה יש שני אדונים עבדקנים ומתופף מגולח יחסית. הם אחת מהלהקות הלוהטות ביותר בצביר.",""
"302.0","string_4","drummer","מתופף",""
"302.0","string_6","guitar","גיטרה",""
"303.0","string_1","slot guy","בחור מכונת המזל",""
"303.0","string_2","Some strange, blue dude currently monopolizes the Slots-O-Death machine.","איזה בחור כחול ומוזר השתלט כרגע על מכונת מזל-המוות.",""
"31.0","string_0","This is another large chamber in the underground complex. Paths run along the top and bottom ledges.","זהו עוד חדר גדול במתחם התת-קרקעי. שבילים עוברים לאורך המעקים העליונים והתחתונים.",""
"31.0","string_6","sticky plant thing","דבר צמחי דביק",""
"31.0","string_7","A piece of sticky plant is stuck to the floor.","חתיכה של צמח דביק תקוע על הרצפה.",""
"31.0","string_9","grate monster 1","מפלצת סורגים 1",""
"31.0","string_11","grate monster 2","מפלצת סורגים 2",""
"31.0","string_13","tentacle 1","משוש 1",""
"31.0","string_14","Hey, this puppy has some keen-looking tentacles.","היי, למותק הזה יש משושים חדים למראה.",""
"31.0","string_16","tentacle 2","משוש 2",""
"31.0","string_18","creature eyestalk","עין-גבעול של יצור",""
"31.0","string_19","It's got the cutest little grey eye you've ever seen.","יש לו את העין האפורה החמודה ביותר שאי פעם ראית.",""
"31.0","string_21","upper ledge","מעקה עליון",""
"31.0","string_23","lowerledge","מעקהתחתון",""
"31.0","string_26","front of grate area","חזית אזור הסורגים",""
"31.0","string_28","grate on floor","סורגים על הרצפה",""
"32.0","string_9","a spacesuit helmet","קסדה של חליפת חלל",""
"32.0","string_17","acid pool","בריכת חומצה",""
"32.0","string_18","acid Pool","בריכת חומצה",""
"32.0","string_19","You can't do that from here.","אתה לא יכול לעשות את זה מכאן.",""
"32.0","string_27","a small drop of green liquid","טיפה קטנה של נוזל ירוק.",""
"33.0","string_0","You are in left-most room of this cavern. Standing sentinel at the juncture of the lower and upper pathways are two odd-looking units obviously placed there on purpose. %s.","אתה בחדר השמאלי ביותר במערה הזו. כשהם עומדים זקופים בצומת השבילים התחתון והעליון נמצאים שתי יחידות משונות למראה שללא ספק הונחו שם בכוונה. %s",""
"33.0","string_1","They are no longer in operation thanks to you.","הם כבר לא פעילים הודות לך.",""
"33.0","string_2","Something is being emitted by the devices.","המכשירים האלה פולטים משהו.",""
"33.0","string_12","laser thing1","משהו לייזר1",""
"33.0","string_13","There are two metal units here which %s emitting beams of energy.","יש כאן שתי יחידות מתכת %s פולטות קרני אנרגיה.",""
"33.0","string_14","are no longer","שכבר אינם",""
"33.0","string_15","appear to be","שעדיין",""
"33.0","string_17","laser thing2","משהו לייזר2",""
"33.0","string_18","","",""
"338.0","string_1","escape pod","חללית מילוט",""
"338.0","string_2","The escape pod is destined to remain a monument to your visit.","חללית המילוט נועדה להישאר כאנדרטה לביקורך.",""
"34.0","string_11","holodude look string","",""
"35.0","string_0","This place is most interesting, indeed. A mixture of both old and new technologies makes you wonder about its origin. Or at least about its tech support. On one side of the chamber is a primitive steam generator. Its pistons, pounding rhythmically, turn steam into useful energy. On the other side is what appears to be a computer console.","המקום הזה מאוד מעניין, בהחלט. תערובת של טכנולוגיות ישנות וחדשות גורמות לך לתהות לגבי מקורו. או לפחות לגבי התמיכה הטכנית. מצד אחד של התא יש גנרטור אדים פרימיטיבי. הבוכנות שלו, הולמות בקצב, הופכות אדים לאנרגיה יעילה. בצד השני יש את מה שנראה כמו מסוף מחשב.",""
"35.0","string_9","There's an upper level, with a balcony and a dark doorway. You can't see much beyond that.","יש מפלס עליון, עם מרפסת ומעבר חשוך. אתה לא רואה הרבה מעבר לכך.",""
"35.0","string_10","computer console","מסוף מחשב",""
"35.0","string_11","A computer console, a bit archaic by the standards of the Arcada, occupies the upper right corner of the room. You notice that it has a cartridge reader, much like the one you remember seeing on the Arcada's computer (except that this one hasn't been blown to smithereens).","מסוף מחשב, מעט מיושן באמות המידה של הארקדה, מצוי בפינה הימנית העליונה של החדר. אתה מבחין שיש לו קורא מחסניות, ממש כמו זה שאתה זוכר שראית מחשב של הארקדה (רק שזה לא התפוצץ לרסיסים).",""
"35.0","string_14","This must be the chair you sit in to operate the computer.","זה בטח הכסא שעליו יושבים כדי לתפעל את המחשב.",""
"35.0","string_16","There seems to be a portal through which the skimmer may exit and enter. It must lead to the surface.","נראה שיש שער שדרכו הרחפת יכולה לצאת ולהיכנס. הוא בטח מוביל לפני השטח.",""
"35.0","string_17","computer pipes","צינורות מחשב",""
"35.0","string_18","From the looks of these pipes, even the computer is powered by steam!","מהמראה של הצינורות הללו, אפילו המחשב מופעל על ידי אדים!",""
"35.0","string_20","skylights","אשנבים",""
"35.0","string_21","What appear to be skylights made from gigantic oysters filter the intense Keronian sunlight down to these lower levels.","מה שנראה כמו אשנבים עשויים מצדפות ענק, מסננים את אור השמש הקרוניאנית החזקה אל עבר המפלסים התחתונים.",""
"35.0","string_23","skimmer platform","משטח הרחפת",""
"35.0","string_24","The platform under the skimmer looks like it was put together from old steam generator parts.","המשטח מתחת לרחפת נראה כאילו הוא הורכב מחלקי גנרטור אדים ישן.",""
"35.0","string_27","The steam generator is a fascinating device in constant motion. It looks like it was assembled following a field trip to the junkyard, but everything appears to be in working order.","גנרטור האדים הוא מכשיר מרתק המצוי בתנועה מתמדת. נראה שהוא הורכב אחרי טיול למזבלה, אבל עושה רושם שהכל עובד כשורה.",""
"35.0","string_28","steam vents","פתחי אדים",""
"35.0","string_29","Every few seconds, steam escapes from the vents to let off excess pressure.","כל כמה שניות, אדים יוצאים דרך הפתחים כדי לשחרר לחץ עודף.",""
"35.0","string_31","big pipes","צינורות גדולים",""
"35.0","string_32","Large metal cylinders form supports for the upper level.","גלילי מתכת גדולים יוצרים תמיכה למפלס העליון.",""
"35.0","string_34","small pipes","צינורות קטנים",""
"35.0","string_35","These pipes are probably part of a larger network that carries steam to power various Keronian devices.","צינורות אלו הם כנראה חלק ממערכת גדולה יותר שמעבירה אדים כדי להפעיל מגוון של מכשירים קרוניאניים.",""
"35.0","string_37","small pipes with dials","צינורות קטנים עם מחוגות",""
"35.0","string_38","These gauges appear to monitor the pressure in the pipes. You think about the thousands of pounds of boiling hot steam in the system, and hope the gauges work.","נראה שמדידים אלה מנטרים את הלחץ בצינורות. אתה חושב על אלפי הקילוגרמים של אדים רותחים במערכת, ומקווה שהמדידים עובדים.",""
"35.0","string_41","The floor in this place is made of polished slate. It is impeccably clean. With all this steam, the Keronians undoubtedly use it to steam clean just about everything.","הרצפה במקום הזה עשויה מלוח מלוטש. היא נקייה ללא רבב. עם כל האדים האלה, הקרוניאנים בוודאי משתמשים בהם כדי לעשות ניקוי באדים לכל דבר.",""
"35.0","string_42","data cartridge","מחסנית מידע",""
"35.0","string_51","blue skimmer","רחפת כחולה",""
"35.0","string_52","As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.","כפי שתואר, זו רחפת חול ונראה שהיא הספיקה לרחף מעל הרבה חול. עליה יש לוח שיש לו צג קטן, חשוך כרגע, וחור מפתח עם מפתח בתוכו.",""
"35.0","string_55","The ladder appears to have been put here to make it easier to board the skimmer.","נראה שהסולם הוצב כאן כדי להקל על העלייה לרחפת.",""
"35.0","string_57","flickering lightbulb","נורה מהבהבת",""
"35.0","string_58","These glass tubes are really quite intriguing - you've never seen anything remotely like them. Must be some radical new technology.","שפופרות הזכוכית האלה מסקרנות מאוד - אף פעם לא ראית משהו שאפילו דומה להן. זאת בטח טכנולוגיה חדשנית במיוחד.",""
"35.0","string_62","Keronian worker","עובד קרוניאני",""
"35.0","string_63","These people of Kerona sure are an odd-looking lot. You can't pin it down, but you are sure something is different about them.","אנשי קרונה הם בהחלט חבורה משונה למראה. אתה לא מצליח לדייק את זה, אבל אתה בטוח שמשהו שונה לגביהם.",""
"35.0","string_65","hover platform.","משטח רחפת.",""
"35.0","string_66","The Keronian is hovering a meter or so off the floor on what appears to be a Kamen Kruiser, something like the one you used to buzz the family dog with as a young child.","הקרוניאני מרחף בערך מטר מעל הרצפה על מה שנראה כמו משחתת קאמן, כמו האחד שאיתו הצקת לכלב של המשפחה כשהיית ילד צעיר.",""
"35.0","string_69","The shaft must be part of the steam generator.","הפיר הוא כנראה חלק מגנרטור האדים.",""
"35.0","string_70","computer screen","מסך מחשב",""
"35.0","string_72","steam vent","פתח אדים",""
"35.0","string_74","Keronian leader.","מנהיג קרוניאני.",""
"35.0","string_75","The old Keronian guy looks friendly enough, but his color makes you wonder if he's getting enough oxygen.","הבחור הקרוניאני הזקן נראה די ידידותי, אבל הצבע שלו גורם לך לתהות אם הוא מקבל מספיק חמצן.",""
"35.0","string_78","Some steam is escaping from the generator. That explains why this place is so humid.","יש אדים שיוצאים מהגנרטור. זה מסביר למה המקום הזה כל כך לח.",""
"35.0","string_79","steam escaping from the pipes.","אדים שיוצאים מהצינורות.",""
"35.0","string_88","""Please, don't be alarmed. We intend no harm. We are a peaceful race. We are cautious, however. Others don't share our way of life. Welcome to Kerona.""","""בבקשה, לא להיבהל. אין לנו כוונה לפגוע. אנחנו גזע שוחר שלום. עם זאת, אנחנו זהירים. אחרים אינם חולקים את דרך חיינו. ברוך הבא לקרונה.""",""
"35.0","string_89","""You are standing in the power generation facility of our underground settlement. All power here is produced by steam. That is unimportant to you, however. We have promised you transportation.""","""אתה עומד במתקן ייצור אנרגיה של המושבה התת-קרקעית שלנו. כל האנרגיה כאן מיוצרת על ידי אדים. עם זאת, זה לא חשוב עבורך. הבטחנו לך תחבורה.""",""
"35.0","string_90","""It is a Skimmer. It hovers approximately 1/2 meter above the traveling surface. This is very important because of Grell.""","""זוהי רחפת. היא מרחפת בערך חצי מטר מעל משטחי המסע. זה מאוד חשוב בגלל גרל.""",""
"35.0","string_91","""Grell and his like dwell in caves below the sand. If you stand on the surface too long, you chance becoming a rare moist meal for him.""","""גרל ודומיו שוכנים במערות מתחת לחול. אם תעמוד על השטח זמן רב מדי, אתה מסתכן בלהפוך לארוחה לחה ונדירה בשבילו.""",""
"35.0","string_92","""The skimmer is programmed to take you to a settlement on the other side of Kerona called Ulence Flats. You can make further travel arrangements there.""","""הרחפת מתוכננת לקחת אותך למושבה בצד השני של קרונה שנקראת מישורי אולנס. תוכל להמשיך בסידורי המסע שלך שם.""",""
"35.0","string_93","""I am sorry this is all we can offer. I hope your trip is a safe one. Board the skimmer when you are ready to depart. Good luck, strange one.""","""אני מתנצל שזה כל מה שנוכל להציע. אני מקווה שמסעך יהיה בטוח. עלה על הרחפת כשתהיה מוכן לצאת. בהצלחה, נוכרי.""",""
"36.0","string_0"," Play ","שחק_",""
"36.0","string_1"," Skip ","דלג_",""
"36.0","string_17","gauge","מונה",""
"36.0","string_18","This gauge tells the amount of damage done to the skimmer.","המונה סוכם את הנזק שספגה הרחפת.",""
"37.0","string_1","exhaust fumes","אדי פליטה",""
"37.0","string_2","The spent drives of the pod vent fumes after the long escape from the Arcada.","המנועים הגמורים של החללית פולטים אדים לאחר ההימלטות הארוכה מהארקדה.",""
"37.0","string_4","ship's hatch","צוהר הספינה",""
"37.0","string_5","This is the door of the escape pod. Due to its special design, the door retained a reserve cache of power sufficient to open one more time. Now, however, it will no longer function.","זו הדלת של חללית המילוט. בזכות העיצוב הייחודי שלה, הדלת שימרה מצבור נוסף של אנרגיה המספיק לפתיחה אחת נוספת. עכשיו, עם זאת, היא כבר לא עובדת.",""
"37.0","string_7","piece of glass","חתיכת זכוכית",""
"37.0","string_8","A chunk of the highly reflective windscreen rests on the sand at the front of the pod. It, along with your teeth, was jarred loose as a result of the the landing's impact.","חתיכה מהשמשה המשקפת במיוחד נחה על החול לפני החללית. היא, יחד עם השיניים שלך, השתחררו כתוצאה מהפגיעה של הנחיתה.",""
"37.0","string_11","emergency survival kit","ערכת הישרדות לחירום",""
"37.0","string_12","The rugged landing liberated the survival kit from its mounting fixture.","הנחיתה הקשוחה שחררה את ערכת ההישרדות ממתקן התלייה שלה.",""
"37.0","string_14","pod's hull","מעטפת החללית",""
"37.0","string_15","The hull of the pod has an exquisite sheen. Too bad it is destined to remain a monument to your visit.","למעטפת החללית יש ברק נפלא. חבל שהיא נועדה להישאר כאנדרטה לביקורך.",""
"37.0","string_17","hatchway","צוהר",""
"37.0","string_18","This is the entry way to the pod.","זוהי הכניסה לחללית.",""
"37.0","string_20","ridge's edge","קצה הרכס",""
"37.0","string_21","Your highly-honed preservation instincts tell you that going near the edge would be disasterous.","חוש השימור המחודד-ביותר שלך מגלה לך שהתקרבות לקצה תהיה הרת אסון.",""
"37.0","string_23","pod's windshield","שמשת החללית",""
"37.0","string_25","pod's engines","מנועי החללית",""
"37.0","string_26","The engines seem to have performed their jobs well. They will now stand silent for eternity.","נראה שהמנועים ביצעו את עבודתם היטב. עכשיו הם ידממו לנצח.",""
"37.0","string_29","The rocks lying on the ground here are made of crumbling sandstone.","האבנים המונחות פה על הקרקע עשויות מאבן חול מתפוררת.",""
"37.0","string_31","This ridge of sand helped stop the pod.","רכס החול הזה סייע לעצירת החללית.",""
"37.0","string_33","In the distance rises a unique formation of mountains. They look to be hundreds of kilometers away.","במרחק מתנשאת תבנית ייחודית של הרים. נראה שהם במרחק של מאות קילומטרים.",""
"38.0","string_0","Guess what? More sand! Do you have any idea where you're headed?","נחש מה? עוד חול! יש לך מושג לאן אתה הולך?",""
"4.0","string_0","That's not possible. It's so dark that you couldn't find your own navel lint. Surely you MUST remember that this was the criteria by which you came to choose this location for your nap... er... work station.","זה לא אפשרי. כל כך חשוך שלא היית מצליח למצוא את המוך בפופיק שלך. אתה *בוודאי* זוכר שזה היה הקריטריון שלפיו בחרת את המיקום לתחנת הנמנ... אה... העבודה שלך.",""
"4.0","string_7","elevator light","אור מעלית",""
"4.0","string_8","You aren't on that level.","אתה לא במפלס ההוא.",""
"4.0","string_11","elevator door","דלת מעלית",""
"4.0","string_13","closet","ארון",""
"4.0","string_15","warning light","אור אזהרה",""
"4.0","string_17","panicking droid","רובוט לחוץ",""
"4.0","string_18","A somewhat spastic research droid blows by in a tizz. Perhaps you could provide some relaxation therapy instruction to reduce its level of tension.","רובוט מחקר תזזיתי משהו חולף על פניך ביעף. אולי תוכל לספק לו הוראות לטיפול הרגעה כדי להפחית את רמת המתח שלו.",""
"40.0","string_0","You are on Tiny's Used Spaceship lot. There are only a few interesting ships to choose from.","אתה במגרש ספינות החלל המשומשות של זעירא. יש רק כמה ספינות מעניינות לבחור מתוכן.",""
"40.0","string_3","OK! Let's go take a look at those beauties!","בסדר! בוא נלך לראות את היפהפייות האלה!",""
"40.0","string_6","sign","שלט",""
"40.0","string_7","There is a sign here which indicates that this is Tiny's Used Spaceship Lot.","יש פה שלט שמציין שזה מגרש ספינות החלל המשומשות של זעירא.",""
"40.0","string_8","You can't.","אתה לא יכול.",""
"40.0","string_10","There is a sign here which indicates that this is Tiny's Used Space Ship Lot.","יש פה שלט שמציין שזה מגרש ספינות החלל המשומשות של זעירא.",""
"40.0","string_13","There is a small, sturdy office here which unauthorized personnel are not allowed in.","יש פה משרד קטן ויציב שגורמים שאינם מורשים לא יכולים להיכנס אליו.",""
"40.0","string_14","sale flags","דגלי מכירה",""
"40.0","string_15","There are some decorative banners which would seem to indicate that making a purchase at Tiny's can be a festive occasion.","יש כמה דגלים ססגונניים שרומזים על כך שרכישה אצל זעירא יכולה להיות סיבה למסיבה.",""
"40.0","string_17","pink ship","ספינה ורודה",""
"40.0","string_18","Who would paint their space ship pink? Anyway, it looks as if Tiny's using this old beast as a source for parts. It definitely won't fly.","מי צובע את ספינת החלל שלו בורוד? בכל מקרה, נראה שזעירא משתמש בחיה הזקנה הזאת כמקור לחלפים. זה בהחלט לא יעוף.",""
"40.0","string_20","green ship","ספינה ירוקה",""
"40.0","string_21","This ship is a real classic - a WalWood WarpBlaster ZX with the original paint job. You've only seen these on old postcards. Too bad it belongs to one of the bar patrons and isn't for sale.","הספינה הזאת היא קלאסיקה אמיתית - וולווד פיתול-פיצוץ עם הצבע המקורי. ראית כאלה רק על גבי גלויות ישנות. חבל שהוא שייך לאחד מבעלי המסבאה והוא לא למכירה.",""
"40.0","string_23","distant ships","ספינות מרוחקות",""
"40.0","string_24","You see two ships in the northern part of Tiny's used spacecraft lot.","אתה רואה שתי ספינות בחלק הצפוני של מגרש רכבי החלל המשומשים של זעירא.",""
"40.0","string_26","force field sensor","חיישן שדה כוח",""
"40.0","string_27","The settlement of Ulence Flats is surrounded by these force field generators. They repel such undesirables such as the grell which thrive below the sands. It will allow only airborne vehicles in or out.","המושבה של מישורי אולנס מוקפת במייצרי שדה הכוח האלו. הם דוחים דברים שאינם רצויים כמו הגרל שמשגשגים מתחת לחול. הוא מאפשר רק לכלי רכב אוויריים להיכנס ולצאת.",""
"40.0","string_29","Tiny","זעירא",""
"40.0","string_30","Impossible to miss is the incredibly rotund owner, Tiny. The jaw jockey is most certainly an unusual-looking being. He looks very much like a fish who has swallowed its fishbowl.","לא ניתן לפספס את הבעלים העגלגל להדהים, זעירא. רוכב הלסתות הוא בהחלט יצור משונה למראה. הוא מאוד דומה לדג שבלע את האקווריום שלו.",""
"40.0","string_31","""I've got a coupl'a other fine ships just to the north of here. Whad'ya say, sport. Shall we go give 'em a gander?""","""יש לי עוד כמה ספינות מצוינות ממש צפונית לכאן. מה 'תה אומר, חבר. שנלך להעיף בהם מבט?""",""
"40.0","string_32","I'd like to take your money, pal. But, even I wouldn't sell you the same ship twice.","אני אשמח לקחת את הכסף שלך, חבוב. אבל, אפילו אני לא אמכור לך את אותה ספינה פעמיים.",""
"40.0","string_33","""So, what are ya trying to pull? If you don't have the cash you can hit the road. Go on, get out of here. You're wasting my time!""","""אז, מה אתה מנסה לעשות? אם אין לך את הכסף אתה יכול להסתלק. קדימה, צא מכאן. אתה מבזבז לי את הזמן!""",""
"40.0","string_34","""I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems don't hesitate to come back and tell us about 'em.""","""אני אומר לך, אני חושב שקיבלת החלטה נכונה. היא יפהפייה אמיתית. המפתחות כבר בפנים. אם יש לך איזשהן בעיות אל תהסס לחזור ולספר לנו עליהם.""",""
"40.0","string_35","Thanks, pal. I don't know how long I've wanted one of these.","תודה, חבר. אני לא יודע כמה זמן כבר רציתי אחד כזה.",""
"40.0","string_36","All riiiight! Is this that new Leisure Suit Larry movie?","מעוווולה! זה סרט חדש של לארי חליפת נוחות?",""
"40.0","string_37","That's real cute. Now can we discuss buying a spaceship? I'm only here to serve you. Talk to me.","זה ממש נחמד. עכשיו אפשר לדבר על רכישת ספינת חלל? אני נמצא פה רק כדי לשרת אותך. דבר אלי.",""
"40.0","string_38"," ""Yeah, I've heard about how your kind likes to skin my kind. If you only knew what WE do to monkeys on MY planet, you'd think twice about waving that little sticker in my direction. But, hey, I'd still like to sell you somethin'. What d'ya say?""","כן, שמעתי איך בני מינך אוהבים לפשוט את העור לני מיני. אם רק היית יודע מה *אנחנו* עושים לקופים בכוכב *שלי*, היית חושב פעמיים לפני שהיית מנופף במדבקה הקטנה הזאת לעברי. אבל, היי, אני עדיין רוצה למכור לך משהו. מה אתה אומר?",""
"40.0","string_39","Thanks a bunch, guy! This planet really dries me out. I feel like a you-know-what outa water.","המון תודה, בחור! הכוכב הזה ממש מייבש אותי. אני מרגיש כמו אתה-יודע-מה מחוץ למים.",""
"40.0","string_40","Hey! I'm not responsible. That ship was in A-1 shape when I sold it to you!! I swear it!!! Hey, wait a minute. That's not from any of MY ships. What are you tryin' to pull here?","היי! אני לא אחראי. הספינה הזאת הייתה במצב מעולה כשמכרתי לך אותה!! אני נשבע!!! היי, חכה רגע. זאת לא אחת מהספינות *שלי*. מה אתה מנסה לעשות כאן?",""
"40.0","string_41","Right, guy. Like I need a stupid rock. Do I look like I was hatched just yesterday?","ממש, בחור. כאילו אני צריך אבן טיפשית. מה אתה חושב, שבקעתי אתמול?",""
"40.0","string_42","Sorry, bud. I only deal in space ships, not sand skimmers.","מצטער, חבר. אני סוחר רק בספינות חלל, לא רחפות חול.",""
"40.0","string_43","Sorry, bud. I only deal in space ships, not itsy-bitsy jetpacks.","מצטער, חבר. אני סוחר רק בספינות חלל, לא בתרמילי ריחוף קטנטנים.",""
"40.0","string_44","Lovely gadget - lovely. So are we gonna make a deal here?. Talk to me.","אביזר מקסים - מקסים. אז אנחנו הולכים לעשות כאן עסקה? דבר אלי.",""
"40.0","string_45","Sorry, pal, but I only take cash.","מצטער, חבר, אבל אני מקבל רק מזומן.",""
"40.0","string_49","There is a hole here. I'm sure you recall its origin. At the bottom is the fine craft you rode to glory in. There is no reason to explore the hole any further.","יש פה חור. אני בטוח שאתה זוכר מה המקור שלו. בתחתיתו יש כלי נהדר שכמעט נסעת בו בדרכך לתהילה. אין סיבה לחקור את החור עוד.",""
"40.0","string_51","You are standing near one of Tiny's used spacecraft. Upon close inspection they appear to have quite a few kilolightyears on them.","אתה עומד ליד אחד מרכבי החלל המשומשים של זעירא. במבט מקרוב נראה שהם צברו לא מעט קילו-שנות אור.",""
"40.0","string_52","""Sorry, you can only fly it when you buy it.  Oh, by the way, there are no refunds either.  Company Policy.""","""מצטער, אתה יכול להטיס רק אחרי שתקנה.__אה, דרך אגב, גם אין החזרים.__מדיניות של החברה.""",""
"40.0","string_53","ship lid","מכסה ספינה",""
"40.0","string_54","That's the lid that covers and protects you during flight (provided this thing does fly).","זה המכסה שמכסה ומגן עליך בזמן טיסה (בהנחה שהדבר הזה יכול לעוף).",""
"40.0","string_56","ship tail","זנב ספינה",""
"40.0","string_57","This ship seems to have fins around its upper section. Quite a strange setup, but at least it's cheap.","נראה שיש לספינה הזו כנפונים מסביב למקטע העליון שלה. תכנון משונה, אבל לפחות זה זול.",""
"40.0","string_60","It's the ladder you used to climb aboard your mole ship.","זה הסולם שהשתמשת בו כדי לטפס אל ספינת ההסתננות שלך.",""
"400.0","string_2","","",""
"400.0","string_4","GFCB","",""
"400.0","string_5","DICJ","",""
"400.0","string_6","JBEI","",""
"400.0","string_7","EAEB","",""
"400.0","string_8","IIBA","",""
"400.0","string_9","EGHD","",""
"400.0","string_10","CBBJ","",""
"400.0","string_11","HFFH","",""
"400.0","string_12","ICDE","",""
"400.0","string_13","BIAA","",""
"400.0","string_14","GHJB","",""
"400.0","string_15","HAAD","",""
"400.0","string_16","DAIB","",""
"400.0","string_17","DDDG","",""
"400.0","string_18","BACH","",""
"400.0","string_19","ABHC","",""
"400.0","string_20","GJDH","",""
"400.0","string_21","CAHC","",""
"400.0","string_22","BGBB","",""
"400.0","string_23","IJFE","",""
"400.0","string_27","button","כפתור",""
"400.0","string_28","These buttons allow you to enter a code into the computer.","כפתורים אלו מאפשרים לך להזין סיסמא למחשב.",""
"400.0","string_32","keypad","לוח מקשים",""
"400.0","string_33","Please enter a Navigational Code Sequence to allow course plotting.","הכנס בבקשה רצף צופן ניווט כדי לאפשר תכנון מסלול.",""
"400.0","string_35","Enter","הזן",""
"400.0","string_36","This button confirms entry of the code you keyed-in and begins the search for the corresponding cartridge.","כפתור זה מאשר את הזנת הסיסמא שהקשת ומתחיל את החיפוש אחר המחסנית המתאימה.",""
"400.0","string_38","Off","כיבוי",""
"400.0","string_39","Press this button if you want to turn the keypad off.","לחץ על כפתור זה אם תרצה לכבות את לוח המקשים.",""
"400.0","string_41","A","",""
"400.0","string_43","B","",""
"400.0","string_45","C","",""
"400.0","string_47","D","",""
"400.0","string_49","E","",""
"400.0","string_51","F","",""
"400.0","string_53","G","",""
"400.0","string_55","H","",""
"400.0","string_57","I","",""
"400.0","string_59","J","",""
