file-noun-verb-condition-sequence-,file,noun,verb,condition,sequence,talker,padding,text,translation,comment_padding,comment_text
135.msg-9-4-0-1-,135.msg,9,4,0,1,99,00000001,Keep your hand(s) to yourself.,שמור את היד(יים) שלך לעצמך.,,
135.msg-9-1-0-1-,135.msg,9,1,0,1,99,00000001,Cadet Oftboffer is one of the horniest individuals you're likely to meet.,צוער אופטבופר הוא אחד הפרטים החרמנים ביותר שסביר להניח שתפגוש.,,
135.msg-10-0-0-1-,135.msg,10,0,0,1,19,00000001,"Sorry I'm late, professor.    ","סליחה על האיחור, פרופסור.",,
135.msg-10-0-0-2-,135.msg,10,0,0,2,19,00000001,"You, mean the |c4|ULP!|c| StarCon Aptitude Test is today?!    ",אתה מתכוון שמבחן ההתאמה *בליעה* מתקיים היום?,,
135.msg-10-0-0-3-,135.msg,10,0,0,3,19,00000001,"Yes sir, I'll get started right away!      ","כן המפקד, אני מיד מתחיל!",,
135.msg-10-0-0-4-,135.msg,10,0,0,4,19,00000001,"What's that? Come talk to you after class? Yes, sir.       ","מה זה? לגשת אליך אחרי השיעור? כן, המפקד.",,
135.msg-10-0-0-5-,135.msg,10,0,0,5,19,00000001,The test's over already?       ,המבחן כבר הסתיים?,,
135.msg-10-0-0-6-,135.msg,10,0,0,6,19,00000001,"Yes sir, I agree that cleaning the Academy crest is an appropriate punishment for being late to class. I'll get right on it.     ","כן המפקד, אני מסכים שניקוי סמל האקדמיה זהו עונש הולם על איחור לכיתה. אני כבר מתחיל.",,
135.msg-10-0-0-7-,135.msg,10,0,0,7,19,00000001,I FAILED?!!  OH HEELLLLLLLLLLLLLLLLLLLP!!    ,נכשלתי?!! אוי הצילללללללללו!,,
135.msg-10-0-0-8-,135.msg,10,0,0,8,99,00000001,UH OH! BUSTED!   ,הו הו! אכלתי אותה!,,
135.msg-11-1-0-1-,135.msg,11,1,0,1,99,00000001,"This state of the art, ergonomically designed classroom is engineered specifically to make cadets feel nervous and uptight during high pressure test situations. ",חדר הכיתה בעל העיצוב החדשני והמתקדם תוכנן במיוחד לגרום לצוערים תחושות של מתח ועצבנות במהלך רגעי מבחן מלחיצים במיוחד.,,
135.msg-12-4-0-1-,135.msg,12,4,0,1,28,00000001,"Try that again, and I'll bite your fingers off!!","נסה את זה עוד פעם, ואני חותך לך את האצבעות!",,
135.msg-12-1-0-1-,135.msg,12,1,0,1,99,00000001,Check out the brain pan on this guy! He's probably smarter than your whole family.,קלוט את ראש הפח של הבחור הזה! הוא כנראה יותר חכם מכל המשפחה שלך.,,
135.msg-12-2-0-1-,135.msg,12,2,0,1,28,00000001,"Buzz off, you pernicious primate!  ","'סתלק, חתיכת יונק ממאיר!",,
137.msg-1-0-0-1-,137.msg,1,0,0,1,99,00000001,10) To successfully accomplish a manual molecular reintegration bypass on a standard transporter unit you should:,10) על מנת לבצע בהצלחה מעקף שילוב מולקולרי ידני ביחידת שיגור סטנדרטית עליך לפעול באופן הבא:,,
137.msg-1-0-0-2-,137.msg,1,0,0,2,99,00000001,A) Reverse the phase polarity of the interface grid.,א) הפוך את שלב הקוטביות ברשת הממשק.,,
137.msg-1-0-0-3-,137.msg,1,0,0,3,99,00000001,B) Jiggle the handle.,ב) נענע את הידית.,,
137.msg-1-0-0-4-,137.msg,1,0,0,4,99,00000001,C) Pray fervently to whatever deity you happen to believe in.,ג) התפלל באדיקות אל אלוהות כלשהי שבמקרה אתה מאמין בה.,,
137.msg-1-0-0-5-,137.msg,1,0,0,5,99,00000001,D) C then B.,ד) ג' ואז ב'.,,
137.msg-1-0-0-6-,137.msg,1,0,0,6,99,00000001,E) Switch to US Sprint.,ה) נייד את החשבון שלך ל'שגר נא'.,,
137.msg-2-0-0-1-,137.msg,2,0,0,1,99,00000001,1) Gronko is commanding a Nova Class scoutship when he finds himself face to face with three Horak battle cruisers. He should:,1) גרונקו מפקד על ספינת סיור מסדרת נובה כאשר הוא מוצא את עצמו פנים אל פנים מול שלוש ספינות מלחמה הוראקיות. מה עליו לעשות?,,
137.msg-2-0-0-2-,137.msg,2,0,0,2,99,00000001,A) Surrender in the face of impossible odds.,א) להפנים את מצבו חסר התקווה ולהיכנע.,,
137.msg-2-0-0-3-,137.msg,2,0,0,3,99,00000001,B) Pretend they aren't there.,ב) להעמיד פנים שהם לא שם.,,
137.msg-2-0-0-4-,137.msg,2,0,0,4,99,00000001,C) Activate his ship's self-destruct mechanism.,ג) להפעיל את מנגנון ההשמדה העצמית.,,
137.msg-2-0-0-5-,137.msg,2,0,0,5,99,00000001,D) Beam over a 'Pick-U-Up' bouquet.,ד) לשגר זר פרחים 'באתי-לצ'פר-לך-את-המצברוח'.,,
137.msg-2-0-0-6-,137.msg,2,0,0,6,99,00000001,E) Reboot.,ה) לאתחל.,,
137.msg-3-0-0-1-,137.msg,3,0,0,1,99,00000001,2) When encountering an alien ship for the first time you should immediately:,2) כאשר אתה פוגש ספינת חייזרים בפעם הראשונה עליך לבצע במיידית:,,
137.msg-3-0-0-2-,137.msg,3,0,0,2,99,00000001,A) Open fire with every weapon at your disposal.,א) פתח באש עם כל עוצמת הנשק שברשותך.,,
137.msg-3-0-0-3-,137.msg,3,0,0,3,99,00000001,B) Broadcast Wagner's ''Ride of the Valkyres'' over the com-link.,"ב) שדר את ""דהרת הוולקירות"" של וגנר בקו הקשר.",,
137.msg-3-0-0-4-,137.msg,3,0,0,4,99,00000001,C) Beam your entire crew over to their ship as a gesture of goodwill.,ג) שגר את מלוא הצוות שלך אל ספינתם כמחווה של רצון טוב.,,
137.msg-3-0-0-5-,137.msg,3,0,0,5,99,00000001,D) B then A.,ד) ב' ואז א'.,,
137.msg-3-0-0-6-,137.msg,3,0,0,6,99,00000001,E) None of the above.,ה) כל התשובות אינן נכונות.,,
137.msg-4-0-0-1-,137.msg,4,0,0,1,99,00000001,3) Before beaming down to an unexplored planet for the first time you should be sure to check:,3) בטרם השתגרות אל כוכב בלתי מוכר בפעם הראשונה עלייך לבדוק את:,,
137.msg-4-0-0-2-,137.msg,4,0,0,2,99,00000001,A) To see that your seat belt is fastened and tray tables are locked securely in the upright position.,א) שחגורת הבטיחות שלך מהודקת כיאות ושולחנות ההגשה נעולים היטב במצב זקוף.,,
137.msg-4-0-0-3-,137.msg,4,0,0,3,99,00000001,B) Your fly.,ב) החנות שלך.,,
137.msg-4-0-0-4-,137.msg,4,0,0,4,99,00000001,C) Your life insurance coverage.,ג) ביטוח החיים שלך.,,
137.msg-4-0-0-5-,137.msg,4,0,0,5,99,00000001,D) The Pfetzer valve in your oxygen mask.,ד) שסתום הפפצר במסיכת החמצן שלך.,,
137.msg-4-0-0-6-,137.msg,4,0,0,6,99,00000001,E) The planet's atmospheric readings.,ה) נתוני אטמוספירת הכוכב.,,
137.msg-5-0-0-1-,137.msg,5,0,0,1,99,00000001,4) You're marooned on an alien planet with no weapons and a killer android out for your blood. You should:,4) ננטשת על אדמת כוכב חייזרי ללא נשק כשאנדרואידית רצחנית שועטת בעקבותיך. עליך לפעול באופן הבא:,,
137.msg-5-0-0-2-,137.msg,5,0,0,2,99,00000001,A) Gather basic ingredients to make gun powder and fashion a cannon from vines and sticks.,א) אסוף רכיבים בסיסיים להכנת חומר נפץ ועצב תותח מגבעולים וענפים.,,
137.msg-5-0-0-3-,137.msg,5,0,0,3,99,00000001,B) Stuff a banana in its exhaust pipe.,ב) תקע בננה בצינור המפלט שלה.,,
137.msg-5-0-0-4-,137.msg,5,0,0,4,99,00000001,"C) Drop a big rock on the robot and shout ''Hasta la vista, Baby!''","ג) דרדר סלע ענק על הרובוטית וצעק ""אסטה לה ויסטה, מותק!""",,
137.msg-5-0-0-5-,137.msg,5,0,0,5,99,00000001,D) Roll in the mud to camouflage yourself.,ד) התפלש בבוץ כדי להסוות את זהותך.,,
137.msg-5-0-0-6-,137.msg,5,0,0,6,99,00000001,"E) Climb a tree, flap your arms wildly, and scream ''tweet-tweet'' at the top of your lungs in order to mimic the mating behavior of the Ruby-throated Arcturan Swinefalcon as a diversionary tactic.","ה) טפס על עץ, נפנף בזרועותיך בפראות, וצרח ""צוויץ-צוויץ"" במלוא גרונך במטרה לאמץ את מנהגי החיזור של בזים ארקטוריאנים אדומי-צוואר כפעולת הסחה.",,
137.msg-6-0-0-1-,137.msg,6,0,0,1,99,00000001,5) You're on an EVA with a partner and you notice his face is turning blue and he is clutching wildly at his throat. This is a sign that:,5) אתה במשימה חוץ-רכבית עם שותף ואתה מבחין כי פניו הולכות ומכחילות והוא לופת את גרונו בבהלה. זה סימן לכך ש:,,
137.msg-6-0-0-2-,137.msg,6,0,0,2,99,00000001,A) You will soon need a new partner.,א) בקרוב תצטרך למצוא שותף חדש.,,
137.msg-6-0-0-3-,137.msg,6,0,0,3,99,00000001,"B) In a burst of creative insight, he has created a new dance called the ''moonwalk.''","ב) בפרץ של יצירתיות, הוא המציא ריקוד חדש שנקרא ""הליכת ירח.""",,
137.msg-6-0-0-4-,137.msg,6,0,0,4,99,00000001,C) He is suffering from a vitamin deficiency and needs to eat more leafy green vegetables.,ג) הוא סובל ממחסור בויטמינים וצריך לאכול יותר עלים ירוקים.,,
137.msg-6-0-0-5-,137.msg,6,0,0,5,99,00000001,D) He fell for the old ''golf ball in the airhose'' trick.,ד) מישהו חשב שהוא גומת גולף.,,
137.msg-6-0-0-6-,137.msg,6,0,0,6,99,00000001,E) A and D.,ה) א' וד'.,,
137.msg-7-0-0-1-,137.msg,7,0,0,1,99,00000001,6) To ensure that your crew's microwave meals are heated adequately and evenly on board your ship you should:,6) כדי להבטיח את חימומן המיטבי והאחיד של ארוחות המיקרוגל עבור צוות הספינה עליך:,,
137.msg-7-0-0-2-,137.msg,7,0,0,2,99,00000001,A) Wrap everything in aluminum foil.,א) לעטוף את הכל בנייר כסף.,,
137.msg-7-0-0-3-,137.msg,7,0,0,3,99,00000001,B) Cook each meal at the maximum power setting for 45 minutes.,ב) לבשל כל ארוחה בחום מקסימלי למשך 45 דקות.,,
137.msg-7-0-0-4-,137.msg,7,0,0,4,99,00000001,C) Put a live space varmint in with each meal so you can more easily determine when it is done.,ג) לשים שרץ חלל חי בכל מנה כדי שניתן יהיה לקבוע ביתר קלות מתי האוכל מוכן.,,
137.msg-7-0-0-5-,137.msg,7,0,0,5,99,00000001,D) Huck the thing and settle for roasting wieners on the maneuvering jets.,ד) זרוק את הכל והתפשר על נקניקיות צלויות על מנועי הסילון.,,
137.msg-7-0-0-6-,137.msg,7,0,0,6,99,00000001,"E) Inject a radioactive plutonium isotope into each piece of food: When it glows, it's ready.","ה) הזרק איזוטופ פלוטוניום רדיואקטיבי לכל אחת ממנות המזון: כשהיא זוהרת, היא מוכנה.",,
137.msg-8-0-0-1-,137.msg,8,0,0,1,99,00000001,"7) If Greeb leaves the Crab Nebula at 32:00 GST (Galactic Standard Time) and travels at 9.75 Million ZPM, how long will it take him to reach Planet Davicon 5 if he has the solar wind at his back?","7) אם גריב יוצא מערפילית הסרטן ב32:00 זג""ת (זמן גלקטי תקני) ונוסע במהירות 9.75 מיליון ינ""א, כמה זמן יקח לו להגיע לכוכב דביקון 5 אם יש לו רוח סולרית גבית?",,
137.msg-8-0-0-2-,137.msg,8,0,0,2,99,00000001,A) 49.3 Hours.,א) 49.3 שעות.,,
137.msg-8-0-0-3-,137.msg,8,0,0,3,99,00000001,B) He will never reach Davicon 5: the solar wind is highly unstable and will blow him off course.,ב) לעולם הוא לא יגיע לדביקון 5: הרוח הסולרית רחוקה מלהיות יציבה והיא תסיט אותו ממסלולו.,,
137.msg-8-0-0-4-,137.msg,8,0,0,4,99,00000001,C) 3.75 Standard days.,ג) 3.75 ימים רגילים,,
137.msg-8-0-0-5-,137.msg,8,0,0,5,99,00000001,D) 49:30 GST.,"ד) 49:30 זג""ת",,
137.msg-8-0-0-6-,137.msg,8,0,0,6,99,00000001,E) Never: The neutron star at the center of the Crab nebula is so massive that Greeb's ship can never reach escape velocity.,ה) לעולם לא: כוכב הניוטרונים המצוי בעיבורה של ערפילית הסרטן כל כך מסיבי שספינתו של גריב לא תצליח לפתח מהירות בריחה.,,
137.msg-9-0-0-1-,137.msg,9,0,0,1,99,00000001,8) How fast does light travel through a vacuum?,8) מהי מהירות האור בריק?,,
137.msg-9-0-0-2-,137.msg,9,0,0,2,99,00000001,"A) 186,000 MPS.","א) 300,000 קילומטרים לשניה.",,
137.msg-9-0-0-3-,137.msg,9,0,0,3,99,00000001,"B) Very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very, very fast.","ב) מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מאד, מהר.",,
137.msg-9-0-0-4-,137.msg,9,0,0,4,99,00000001,"C) 669,600,000 MPH.","ג) 1,080,000,000 קילומטרים לשעה.",,
137.msg-9-0-0-5-,137.msg,9,0,0,5,99,00000001,D) Depends whether it's an upright or canister vacuum.,ד) תלוי אם זה ריק ומורטי או ריק ריירדן.,,
137.msg-10-0-0-1-,137.msg,10,0,0,1,99,00000001,9) Which is an example of a ''fuzzy boundary?'',"9) תן דוגמה ל""גבולות מטושטשים.""",,
137.msg-10-0-0-2-,137.msg,10,0,0,2,99,00000001,A) The area in space between two planetary bodies where a smaller third object is not clearly under the gravitational influence of either.,א) אזור בחלל בין שני גופים פלנטריים שבו עצם שלישי קטן יותר משניהם ואינו תחת השפעה כבידתית ברורה מאף אחד מהגופים.,,
137.msg-10-0-0-3-,137.msg,10,0,0,3,99,00000001,B) The event horizon of a super-massive black hole.,ב) אופק האירועים של של חור שחור סופר-מסיבי.,,
137.msg-10-0-0-4-,137.msg,10,0,0,4,99,00000001,C) The place where a receding hairline gives way to bare scalp.,ג) המקום שבו קו שיער נסוג מפנה את מקומו לקרקפת חשופה.,,
137.msg-10-0-0-5-,137.msg,10,0,0,5,99,00000001,D) The point at which the marginal utility of trying to squeeze the last bit of toothpaste from the tube is offset by the opportunity cost of going to the store for a new one.,ד) הנקודה שבה התועלת השולית מנסיון סחיטת שפופרת משחת השיניים עד הטיפה האחרונה מתקזזת מול העלות האלטרנטיבית של רכישת משחה חדשה בחנות.,,
15.msg-0-4-0-1-,15.msg,0,4,0,1,99,00000001,That item isn't operated in that manner.,חפץ זה אינו מתפקד באופן הזה.,,
15.msg-0-7-0-1-,15.msg,0,7,0,1,99,00000001,Those items don't work together.,חפצים אלה אינם עובדים בשיתוף פעולה.,,
15.msg-1-1-0-1-,15.msg,1,1,0,1,99,00000001,NoeVart anti-acid tablets.,כדורבסיס - כדורים נוגדי חומצה.,,
15.msg-2-1-0-1-,15.msg,2,1,0,1,99,00000001,The Merchant of Venus' plastoid business chip.,שבב עסקי פלסטואידי של הסוחר מנוגה.,,
15.msg-2-33-1-1-,15.msg,2,33,1,1,99,00000001,This is neither the time nor the place for that.,זה לא הזמן ולא המקום בשביל זה.,,
15.msg-3-1-0-1-,15.msg,3,1,0,1,99,00000001,Buckazoids. Cash. Money. Spendola. ,זוזואידים. מזומן. כסף. בזבזמו.,,
15.msg-5-1-0-1-,15.msg,5,1,0,1,99,00000001,Cloaking device recovered from WD40's ship. Handle with care.,מתקן הסוואה שחולץ מחללית WD40. להחזיק בזהירות.,,
15.msg-6-1-0-1-,15.msg,6,1,0,1,99,00000001,Starcon standard issue PCD (personal communication device).,"זק""א צבר-כוכבא תקני (זמזם קשר אישי).",,
15.msg-7-1-0-1-,15.msg,7,1,0,1,99,00000001,Centuri products Mark II warp distributor cap.,מכסה מפלג על-חלל סימן 2 מתוצרת קנטאורי.,,
15.msg-8-1-0-1-,15.msg,8,1,0,1,99,00000001,A lovely little frock. Too bad it's not your color.,חלוק קטן וחמוד. חבל מאד שהוא לא בצבע שלך.,,
15.msg-9-1-0-1-,15.msg,9,1,0,1,99,00000001,High-voltage circuit fuse.,מפסק זרם במתח גבוה.,,
15.msg-10-1-0-1-,15.msg,10,1,0,1,99,00000001,"The metal head from the annihilator android, WD40.","ראש הברזל של האנדרואידית המשמידה, WD40.",,
15.msg-11-5-0-1-,15.msg,11,5,0,1,99,00000001,Use this icon to scroll your inventory down.,השתמש בצלמית זו לגלול מטה במלאי שלך.,,
15.msg-12-5-0-1-,15.msg,12,5,0,1,97,00000001,Use this to ''Do'' something to or with an item. ,"השתמש בזה ""לעשות"" משהו לחפץ או עם החפץ.",,
15.msg-13-0-0-1-,15.msg,13,0,0,1,99,00000001,Roger isn't carrying anything right now.,רוג'ר לא נושא עליו כרגע כלום.,,
15.msg-14-5-0-1-,15.msg,14,5,0,1,97,00000001,Use this to get help on the function of other icons. ,השתמש בזה לקבל עזרה אודות תפקידיהם של שאר הצלמיות.,,
15.msg-15-5-0-1-,15.msg,15,5,0,1,97,00000001,"This icon will give you a description of an item.

",צלמית זו תתן לך תיאור קצר של הפריט.,,
15.msg-16-5-0-1-,15.msg,16,5,0,1,97,00000001,This closes the inventory window. ,זה סוגר את חלון המלאי.,,
15.msg-17-5-0-1-,15.msg,17,5,0,1,97,00000001,This icon selects an item. ,בצלמית זו בוחרים חפץ.,,
15.msg-18-5-0-1-,15.msg,18,5,0,1,99,00000001,This icon scrolls your inventory window up.,אייקון זה גולל מעלה את המלאי.,,
15.msg-19-1-0-1-,15.msg,19,1,0,1,99,00000001,A sturdy branch that broke under your weight (maybe someone is trying to tell you something).,ענף חסון שנשבר תחת כובד משקלך (אולי מישהו מנסה להעביר לך מסר).,,
15.msg-20-1-0-1-,15.msg,20,1,0,1,99,00000001,"This exotic, vaguely banana-like fruit grows only here on Kiz Urazgubi.",הפרי האקזוטי המזכיר בננה במעורפל גדל אך ורק כאן בתגיצ'ה לומיפה.,,
15.msg-21-1-0-1-,15.msg,21,1,0,1,99,00000001,A package of dehydrated Space Monkeys given to you by the salesbeast at the spacebar. A small label at the bottom reads ''Warning: Do Not Allow Contents of Package to Mix with Alcohol.'',"חבילת קופי חלל מיובשים שהעניק לך מפלץ המכירות מהבר-כוכבא. על תווית קטנה מתחת נכתב ""אזהרה: אין לערבב את תכולת החבילה עם אלכוהול.""",,
15.msg-22-1-0-1-,15.msg,22,1,0,1,99,00000001,"A handy travel sized container of liquid nitrogen, just the thing to dump in the punch at dull parties. This -200 degree temperature of the liquid instantly freezes anything it comes into contact with.","מימייה נוחה לנסיעות מלאה בחנקן נוזלי, היא בדיוק מה שחסר במסיבות משעממות. הנוזל בטמפרטורה של 200- מעלות יקפיא כל דבר שיבוא איתו במגע.",,
15.msg-23-1-0-1-,15.msg,23,1,0,1,99,00000001,Standard issue Star Confederacy Rebreather mask.,מסיכת חמצן צבר-כוכבית סטנדרטית תיקנית.,,
15.msg-24-1-0-1-,15.msg,24,1,0,1,99,00000001,"Tanks, a lot: It's full of air!","תודה, מיכל הלב: זה מלא באוויר!",,
15.msg-25-1-0-1-,15.msg,25,1,0,1,99,00000001,The battered scrap of appears to have some writing on it.,עושה רושם שמשהו כתוב על הפיסה המקומטת.,,
15.msg-26-1-0-1-,15.msg,26,1,0,1,99,00000001,A hole punch.,מנקב.,,
15.msg-27-1-0-1-,15.msg,27,1,0,1,99,00000001,Orange safety cones. Useful for rerouting unwelcome traffic.,קונוס ביטחון כתום. שימושי לניתוב מחדש של תנועה לא רצויה.,,
15.msg-28-1-0-1-,15.msg,28,1,0,1,99,00000001,WOW!! The Scrub-O-Matic Power Floor Scrubber model I812 with patented sit 'n spin cleaning action!,"וואו! הקרצפ-ו-מטי העוצמתי לקירצוף רצפות מדגם I812 עם פטנט ה""שב ו'סתובב"" לניקוי יסודי!",,
15.msg-29-1-0-1-,15.msg,29,1,0,1,99,00000001,"A left-over part from Cliffy's overhaul of WD40, the annihilator android.","חלק שנותר מהשיפוץ שעשה צוקי בWD40, האנדרואידית המשמידה.",,
15.msg-30-1-0-1-,15.msg,30,1,0,1,99,00000001,"Your faithful (but not completely house-trained) companion, Spike.","בן הלוויה הנאמן שלך (שעדיין עושה צרכים בבית), קוץ.",,
15.msg-31-1-0-1-,15.msg,31,1,0,1,99,00000001,A laser cutting torch. This might come in handy if you lock the keys in the car again.,"מבער חיתוך לייזר. עשוי להביא תועלת אם שכחת את המפתחות ברכב, שוב.",,
165.msg-1-0-0-1-,165.msg,1,0,0,1,99,00000000,"And so, having undergone an intensive weekend captain's training seminar on the planet Oakhurst, Roger is shuttled to his new command--the SCS Eureka.","וכך, לאחר סוף שבוע אינטנסיבי בסמינר להכשרת מפקדים בכוכב אוקהרסט, רוג'ר הוטס אל פיקודתו החדשה--חצ""כ יוריקה.",,
165.msg-1-0-0-2-,165.msg,1,0,0,2,19,00000000,|f8|hey!|f| That's not a starship--it's a |f8|garbage scow!|f|,הי! זו לא ספינת חלל--זו מכולת אשפה!,,
165.msg-1-0-0-3-,165.msg,1,0,0,3,19,00000000,Figures!!,הייתי צריך לנחש!!,,
166.msg-0-0-0-1-,166.msg,0,0,0,1,99,00000001,|f6|YES! 100% correct on the SAT.|f|,"יש! ציון 100% במהצ""כ.",,
166.msg-1-0-0-1-,166.msg,1,0,0,1,19,00000001,"Cadet Wilco,



On behalf of the administration I would like to congratulate you on receiving a perfect score on your SAT. Not in the entire history of StarCon Academy has a cadet achieved such high marks. You should be proud.","צוער ווילקו,

בשם ההנהלה אני רוצה לברך אותך על קבלת ציון מושלם במהצ""כ. לאורך כל ההיסטוריה של אקדמיית צבר-כוכבא לא היה צוער שהגיע להישגים כל כך גבוהים. יש לך במה להתגאות.",,
166.msg-1-0-0-2-,166.msg,1,0,0,2,19,00000001,"On the recommendation of our test analysis computer system, you are to begin training for Captaincy aboard one of our fine star cruisers. Captain Quirk will post your assignment.



You've done the academy proud!



Sincerely,



(Current Chief Commanding Officer's name here.)","על פי המלצת המערכת הממחושבת לניתוח מבחנים, אתה מתחיל להתאמן לקראת תפיסת פיקוד על אחת מסיירות החלל המובחרות שלנו. קפטן קווירק יקבע את מקום הצבתך.

אתה גאוות האקדמיה כולה!

בכבוד רב,

(קצין אחראי ראשי נוכחי חותם כאן)",,
166.msg-2-1-0-1-,166.msg,2,1,0,1,99,00000001,Your test results--maybe you ought to have it framed.,תוצאות המבחן שלך--אתה חייב למסגר אותם.,,
20.msg-1-0-0-1-,20.msg,1,0,0,1,99,00000001,"





Ever get that nagging feeling you forgot something?",גם לך יש לפעמים את התחושה המטרידה הזאת ששכחת משהו?,,
20.msg-1-0-0-2-,20.msg,1,0,0,2,99,00000001,"Bea is dead. In an alternate future she would've borne your son. In the future past of Space Quest 4, your son would've saved your life. But she didn't, so he couldn't--therefore you aren't.","בי מתה. בעתיד חלופי היא היתה יולדת לך בן. בעבר העתידי של מסע בחלל 4, בנך הציל את חייך. אך היא לא עשתה כך, ולכן הוא לא יכל לעשות כן, ולפיכך אתה לא יכול להיות כעת.",,
20.msg-1-0-0-3-,20.msg,1,0,0,3,99,00000001,END.,סוף.,,
20.msg-1-0-0-4-,20.msg,1,0,0,4,99,00000001,"





A defeatist attitude won't get you anything--except a body bag.",גישה תבוסתנית לא תנחיל לך שום דבר--מלבד שק גופות.,,
20.msg-1-0-0-5-,20.msg,1,0,0,5,99,00000001,"



Looks like you hung around too long. Don't worry, you'll make great compost for some baby mushrooms.","נראה שנשארת תלוי יותר מדי זמן. אל דאגה, אתה תהיה דשן נהדר לגורי פטריות.",,
20.msg-1-0-0-6-,20.msg,1,0,0,6,99,00000001,"





What we have here is a failure to communicate. Or something.",מה שיש לנו כאן זה כשל בתקשורת. או משהו כזה.,,
20.msg-1-0-0-7-,20.msg,1,0,0,7,99,00000001,"





Five times and you still couldn't get it right. Next time you're buzzing around, pay more attention.","חמישה נסיונות ועדיין לא הבנת איך עושים את זה נכון. בפעם אתה שאתה מזמזם באזור, שים לב למה שקורה סביבך.",,
20.msg-1-0-0-8-,20.msg,1,0,0,8,99,00000001,"





You've blown it again. Due to your inability to perform under pressure, the Goliath was destroyed and so were you.","שוב פישלת. עקב חוסר היכולת שלך לתפקד תחת לחץ, הגוליית הושמדה וגם אתה.",,
20.msg-1-0-0-9-,20.msg,1,0,0,9,99,00000001,"The tremendous force exerted by the blob finally breached the Eureka's hull, leaving the Quirk/Pukoid Blob Creature free to wreak havoc upon the universe. But look on the bright side, you won't be around to face a court martial.","הכוח האדיר שהופעל על ידי הגוש הבקיע לבסוף את המעטה של היוריקה, מה שהעניק ליצור הקווירקי/פיוקואידי את החופש לזרוע הרס וחורבן על פני היקום. אבל תסתכל על חצי הכוס המלאה, אתה לא תהיה בסביבה בשביל לעמוד למשפט צבאי.",,
20.msg-1-0-0-10-,20.msg,1,0,0,10,99,00000001,"



Handy transporter safety tip #21: Beaming directly into deep space may cause serious injury or death.",בטיחות שיגורים ברי השגה טיפ מספר 21: שיגור ישיר אל החלל העמוק עלול לגרום לפציעה קשה או למוות.,,
20.msg-1-0-0-11-,20.msg,1,0,0,11,99,00000001,"Bea is dead. In an alternate future she would've borne your son. In the future past of Space Quest 4, your son would've saved your life. But she didn't so he couldn't--therefore you aren't.","בי מתה. בעתיד חלופי היא היתה יולדת לך בן. בעבר העתידי של מסע בחלל 4, בנך הציל את חייך. אך היא לא עשתה כך, ולכן הוא לא יכל לעשות כן, ולפיכך אתה לא יכול להיות כעת.",,
20.msg-1-0-0-12-,20.msg,1,0,0,12,99,00000001,"

Beatrice really went to pieces on you:

She now lies scattered on the floor in handy bite-sized chunks.","ביאטריס באמת התפרקה עליך לרסיסים:
היא כעת שוכבת מפוזרת על הרצפה בחתיכות בגודל ביס.",,
20.msg-1-0-0-13-,20.msg,1,0,0,13,99,00000001,"Wasting all that time beaming back and forth gave the big snot ball enough time to munch down on the Goliath and the Eureka. Having no particular place to beam to, your molecules spread out across the universe.","השיגורים המיותרים הלוך ושוב העניקו לכדור הנזלת הגדול מספיק זמן כדי לנשנש את גוליית ויוריקה. מאחר ואין מקום מוגדר לשיגור שלך, המולקולות שלך התפזרו על פני כל היקום.",,
20.msg-1-0-0-14-,20.msg,1,0,0,14,99,00000001,"



Well... this new look is going to be all the rage in the Quadrant, now that you won't be around to stop the mutants.","ובכן... המראה החדש הזה הולך להיות הצעקה האחרונה ברביע הגלקטי, עכשיו כשלא תהיה בסביבה לעצור את המוטנטים.",,
20.msg-1-0-0-15-,20.msg,1,0,0,15,99,00000001,"

Way to go, Rog... you beamed down to an uninhabitable planet! Next time, pay more attention to your science officer.","כל הכבוד, רוג'... שוגרת אל כוכב שאינו מאפשר קיום חיי אדם! בפעם הבאה אל תחלום בהרצאה של קצינת המדע.",,
20.msg-1-0-0-16-,20.msg,1,0,0,16,99,00000001,"





You are dead, someone else will have to carry the torch you left behind.","אם אתה לא מצליח לפרש את הסיבה שאתה מת, אולי היית צריך לקחת משהו שיבער לך את זה.",,
20.msg-2-0-0-1-,20.msg,2,0,0,1,99,00000001,"







There's no place for slackers in StarCon Academy.",אין מקום לבטלנים באקדמיית צבר-כוכבא.,,
20.msg-2-0-0-2-,20.msg,2,0,0,2,99,00000001,"





Maybe you should have taken the correspondence course.",אולי היית צריך לקחת את הקורס בהתכתבות.,,
20.msg-2-0-0-3-,20.msg,2,0,0,3,99,00000001,"







StarCon academy is no place for slackers.",אקדמיית צבר-כוכבא אינה מקום לבטלנים.,,
20.msg-2-0-0-4-,20.msg,2,0,0,4,99,00000001,"







Guess that wasn't the right fuse to pull, Rog.","מסתבר שמשכת בנתיך הלא נכון, רוג'.",,
20.msg-2-0-0-5-,20.msg,2,0,0,5,99,00000001,"







Warning! Deactivating life support may be hazardous to your health.",אזהרה! ניתוק מערכות תומכות חיים עלול להיות מסוכן לבריאות.,,
20.msg-2-0-0-6-,20.msg,2,0,0,6,99,00000001,"





Cute. What do you do for an encore?",חמוד. מה אתה מתכנן להדרן?,,
