"חדר","אינדקס","מקור","תרגום","הערות"
"32.0","11.0","Be careful! This dude's dangerous.","תיזהר! הבחור מסוכן.",""
"32.0","12.0","The suspect falters for a moment, then slowly raises his hands. He realizes he does not have a chance and follows your order.","החשוד מהסס לרגע, ואז מרים את ידיו באיטיות. הוא מבין שאין לו סיכוי ומציית להוראותיך.",""
"32.0","13.0","""Ok, ok. I'm lying down!""","""בסדר, בסדר. אני שוכב!""",""
"32.0","14.0","Your partner just punched that punk's ticket.","השותף שלך הרגע שלח את הפרחח לעולם שכולו טוב.",""
"32.0","15.0","But, a little too late for you, pal. Remember, proper procedure promotes police preservation.","אבל, מעט מאוחר מדי בשבילך, חבר. זכור, הליך תקין מאריך חיי שוטרים.",""
"32.0","16.0","Cranking off a few live rounds at this particular time is not recommended.","שימוש באש חיה בשלב הזה אינו מומלץ.",""
"32.0","17.0","Jack says, ""I've got him covered, Sonny. Go ahead and 'cuff him.""","ג'ק אומר, ""אני מחפה עליך, בני. רוץ קדימה ושים עליו אזיקים.""",""
"32.0","18.0","You apprehensively approach the suspect, sensing his desperation.","אתה ניגש בחשש אל החשוד, מרגיש את הייאוש שלו.",""
"32.0","19.0","Attempting to handcuff the suspect while holding your weapon could be hazardous to your health!","ניסיון לאזוק חשוד תוך כדי אחיזה בנשק מסוכן לבריאות!",""
"32.0","20.0","You feel relief as you close the handcuffs around his wrists.","אתה חש הקלה כשאתה נועל את האזיקים סביב פרקי ידיו.",""
"32.0","21.0","Stand him up, first.","תעמיד אותו, קודם.",""
"32.0","22.0","You order the suspect into your patrol car. He submits with a sarcastic, ""All right, &!#$%&.""","אתה מורה לחשוד להיכנס לניידת. הוא נכנע בסרקסטיות, ""בסדר, &!#$%&.""",""
"32.0","23.0","""Good job, Sonny!"" says Jack. ""I'll call Dispatch and put out a Code-4.""","""עבודה יפה, בני!"" אומר ג'ק. ""אני אתקשר למוקד ואודיע על קוד-4.""",""
"32.0","24.0","You must be in your car or have a radio extender.","אתה צריך להיות ברכב או להחזיק מכשיר קשר.",""
"32.0","25.0","You'd better handcuff him first!","כדי שתאזוק אותו תחילה!",""
"32.0","26.0","This guy may be armed!","הבחור עלול להיות חמוש!",""
"32.0","27.0","Place him in physical custody before entering his car.","תציב אותו תחת השגחה לפני שאתה נכנס לרכב שלו.",""
"32.0","28.0","You do not need anything from the trunk.","אינך צריך דבר מתא המטען.",""
"32.0","29.0","You're not close enough to Jack to obtain the gun.","אתה לא מספיק קרוב לג'ק כדי לקבל את האקדח.",""
"32.0","30.0","This vehicle almost matches the description of the vehicle mentioned by the witness to the fatal car crash.","כלי הרכב כמעט תואם לתיאור הרכב שהוזכר על ידי העד מתאונת הדרכים הקטלנית.",""
"32.0","31.0","You can't see it from here.","אינך יכול לראות זאת מכאן.",""
"32.0","32.0","Your radio crackles to life with a message from Dispatch, ""83-32, license plate 'UL6942' not listed as stolen. Registered to a '79 Cadillac junked in 1983.""","מכשיר הרדיו מתעורר לחיים עם הודעה מהמוקד, ""83-32, לוחית רישוי 'UL6942' אינה רשומה כגנובה. רשומה על קאדילק משנת 79 שנגרטה ב-1983.""",""
"32.0","33.0","You think, ""The odds of finding a legit registration for this car are slim to none.""","אתה מהרהר, ""הסיכוי למצוא רישום חוקי למכונית הזאת שואף לאפס.""",""
"32.0","34.0","This door is locked.","הדלת הזאת נעולה.",""
"32.0","35.0","It IS open.","זה פתוח.",""
"32.0","36.0","It IS closed.","זה נעול.",""
"32.0","37.0","Something about the interior of this car just doesn't feel right.","משהו בקשר לחלל הרכב פשוט לא מרגיש נכון.",""
"32.0","38.0","You look at the floorboard, the seats, and even under the seats, but you find nothing.","אתה מתבונן ברצפה, על המושבים, ואפילו מתחת למושבים, אך לא מוצא דבר.",""
"32.0","39.0","The door IS closed.","הדלת סגורה.",""
"32.0","40.0","There's nothing special about the door.","אין שום דבר מיוחד בדלת.",""
"32.0","41.0","Say! The doorjamb of the suspect's vehicle is black instead of light blue!","רגע! המשקוף ברכב החשוד צבוע בשחור ולא בכחול בהיר!",""
"32.0","42.0","A closer examination of the doorjamb reveals the vehicle's VIN plate. A quick rub with your thumb uncovers its number: C03456218!","בחינה מקרוב של המשקוף חושפת את מספר השלדה של הרכב. שפשוף מהיר עם האצבע מגלה את המספר: C03456218!",""
"32.0","43.0","You must first locate its VIN.","ראשית עליך לאתר את מספר השלדה.",""
"32.0","44.0","""Dispatch, this is 83-32,"" you radio. ""Run VIN C03456218 through the computer.""","""מוקד, כאן 83-32,"" אתה משדר. ""תריצו במחשב מספר סידורי C03456218."" ",""
"32.0","45.0","Shortly, Dispatch returns with...","תוך זמן קצר, מתקבלת תשובה מהמוקד...",""
"32.0","46.0","""Suspect vehicle is confirmed 10851! Lytton PD holds a signed stolen report on this vehicle.""","""הרכב החשוד הוא 10851 מאושר! משטרת לייטון מחזיקה בדו""ח גניבה חתום על הרכב.""",""
"32.0","47.0","""Vehicle information, 1983 black Cadillac deVille.""","""נתוני הרכב, קאדילק דוויל שחורה 1983.""",""
"32.0","48.0","""Registered owner, Malcolm Washington, 234 W Center St, Lytton, CA.""","""בעלים רשום, מלקולם וושינגטון, 234 מערב רחוב מרכז, לייטון, קליפורניה.""",""
"32.0","49.0","You search the suspect and find only pocket change.","אתה עורך חיפוש על החשוד ומוצא רק כסף קטן.",""
"32.0","50.0","The suspect is already in the car. You'd better take him to jail!","החשוד כבר ברכב. כדאי שתסיע אותו לתא המעצר!",""
"32.0","51.0","The suspect cuts you off short as he says, ""I know my rights, you jackass!""","החשוד קוטע אותך בגסות ואומר, ""אני יודע מה הזכויות שלי, חתיכת אידיוט!""",""
"32.0","52.0","""This is harassment. You'll hear from my attorney!""","""זו הטרדה. אתה תשמע מהעורך דין שלי!""",""
"32.0","53.0","""You wanna get out of the way??""","""אתה רוצה לזוז לי מהדרך??""",""
"32.0","54.0","What are you talking about?","על מה אתה מדבר?",""
"32.0","55.0","You radio, ""Dispatch, this is 83-32. Request wants on license plate 'UL6942.'""","אתה משדר, ""מוקד, כאן 83-32. מבקש בדיקת צווים על לוחית רישוי 'UL6942.'""",""
"32.0","56.0","You don't know the license plate number yet.","אתה עדיין לא יודע מה המספר של לוחית הרישוי.",""
"32.0","57.0","To be safe, you read his rights to him anyway.","ליתר ביטחון, אתה מקריא לו את הזכויות שלו בכל מקרה.",""
"32.0","58.0","Then, you remember the glove compartment.","ואז, אתה נזכר בתא הכפפות.",""
"32.0","59.0","Plus, a loaded, Smith & Weston .45-caliber, semi-automatic handgun.","בנוסף, אקדח חצי אוטומטי, קוטר 0.45 טעון מדגם סמית' ווסטון.",""
"32.0","60.0","The suspect pipes up, ""Honest, Officer. I only carry that for self-defense on the freeways!!""","החשוד מצייץ, ""באמת, אדוני השוטר. אני נושא את זה רק לצורכי הגנה עצמית בכבישים מהירים!!""",""
"32.0","61.0","""Quiet down,"" you order him. ""Hey, Jack,"" you yell to your backup, ""how's about booking this evidence?""","""שקט ומיד,"" אתה מצווה עליו. ""היי, ג'ק,"" אתה צועק לגיבוי שלך, ""מה דעתך לתעד את הראיות האלה?""",""
"32.0","62.0","""Ok,"" Jack replies.","""בסדר,"" עונה ג'ק.",""
"32.0","63.0","Attempting to apprehend the suspect single-handedly was brave but fatal. Review the ""Felony Stop Procedures"" section of your ""LPD Policeman's Indoctrination Guide.""","הנסיון ללכוד את החשוד בכוחות עצמך היה אמיץ אך קטלני. עיין בפרק ""נהלי מעצר פלילי"" ב""חוברת ההדרכה של משטרת לייטון.""",""
"32.0","64.0","You'd better get him in the car, first.","כדאי מאוד שתכניס אותו לרכב, קודם כל.",""
"32.0","65.0","You carefully handle the gun so as not to smudge any possible fingerprints.","אתה מטפל בקפידה באקדח, נזהר מאוד שלא לטשטש כל טביעת אצבע אפשרית.",""
"32.0","66.0","You key your radio, ""83-32, backup has arrived.""","אתה מקליד ברדיו, ""83-32, הגיבוי הגיע.""",""
"32.0","67.0","He can't hear you when you're inside your car.","הוא לא שומע אותך כשאתה בתוך הרכב.",""
"32.0","68.0","He IS!","הוא כבר עשה את זה!",""
"32.0","69.0","He's still inside his car.","הוא עדיין בתוך הרכב.",""
"32.0","70.0","He doesn't have his hands raised yet!","הוא עדיין לא הרים ידים!",""
"32.0","71.0","You'd better get him under your control, first!","כדאי שתרסן אותו, דבר ראשון!",""
"32.0","72.0","If it's a tie, you lose!","אם זה תיקו, הפסדת!","לא אמור להיות ""אם זה תיקו, הפסדת!""?
טופל"
"32.0","73.0","""Oops, I must have forgotten it!"" says the suspect.","""אופס, כנראה ששכחתי את זה!"" אומר החשוד.",""
"32.0","74.0","Jack took it with him.","ג'ק לקח את זה איתו.",""
"32.0","75.0","""I place you under arrest!""","""אתה עצור!""",""
"32.0","76.0","Once is enough.","פעם אחת מספיקה.",""
"32.0","77.0","You nervously key your radio, ""Dispatch, this is 83-32. Request backup Code-3!""","""אתה מדווח בעצבנות במכשיר הקשר, ""מוקד, כאן 83-32. מבקש גיבוי קוד-3!""",""
"32.0","78.0","""Shove it, Pig!""","""קפוץ לי, חזיר!""",""
"32.0","79.0","felScene %v119|3 Script %v139|3 susScript %v220|3","",""
"33.0","1.0","The door swings; just push on it.","זאת דלת מתנדנדת; פשוט תדחוף אותה.",""
"33.0","2.0","It's a real swinger.","נודניקית אמיתית.",""
"33.0","3.0","You look at the patrol car, and wish that it ran as well as your 'Vette.","אתה מביט בניידת ומייחל שהיא היתה טסה כמו הקורבט שלך.",""
"33.0","4.0","You love your cherry 'Vette.","אתה אוהב את הקורבט דובדבן שלך.",""
"33.0","5.0","This Caddie is just not your style.","הקאדילק הזה ממש לא הסגנון שלך.",""
"33.0","6.0","""The Blue Room"" is the local, police officers' watering hole. It is owned and operated by retired traffic officer, ""Big Bobby"" Lopez.","""החדר הכחול"" הוא פאב השוטרים המקומי. בעל השליטה ומנהל המקום הוא שוטר תנועה בדימוס, ""בובי הגדול"" לופז.",""
"33.0","7.0","Whew. Have you had some good times here over the years!","וואו. אלו חיים משוגעים עשית פה במהלך השנים!",""
"33.0","8.0","""Bud"" who?","""חבוב"" מי?",""
"33.0","9.0","You peer through the department store window, but see nothing of interest.","אתה מציץ מבעד לחלון חנות הכל-בו, אך לא רואה שום דבר מעניין.",""
"33.0","10.0","The mini-blinds prevent you from seeing inside.","התריסים מונעים ממך מלהביט פנימה.",""
"34.0","1.0","You see your friend, Jack, seated alone at a table. There is a jukebox against the wall to the left.","אתה רואה את חברך, ג'ק, יושב לבדו על יד השולחן. צמוד לקיר השמאלי עומדת תיבת נגינה.",""
"34.0","2.0","Jack speaks, in a very depressed voice, ""Oh, Sonny! I just discovered my daughter is doing drugs! It's really screwed me up!""","ג'ק מספר, בקול סדוק, ""הוי, בני! הרגע גיליתי שהבת שלי מעשנת סמים! נדפקתי לגמרי!""",""
"34.0","3.0","""I know she's getting 'em at school, but I just can't finger the punk who's supplying!""","""אני יודע שהיא משיגה אותם בבית הספר, אבל אני לא מצליח לשים את האצבע על העבריין שמספק לה!""",""
"34.0","4.0","""My life is going to crap. I can't talk to my daughter, she won't listen to me any more! My drinking has my marriage on the rocks, my wife's ready to leave me! Everything's a mess!""","""החיים שלי בזבל. אני לא יכול לדבר עם הבת שלי, היא לא מקשיבה לי! הרגלי השתייה שלי הרסו לי את חיי הנישואין, אשתי רוצה לעזוב אותי! הכל בלאגן אחד גדול!""",""
"34.0","5.0","Jack is totally surprised as everyone sings ""Happy Birthday.""","ג'ק מופתע לחלוטין כשכולם מתחילים לשיר ""יום הולדת שמח.""",""
"34.0","6.0","While everyone wishes Jack a ""Happy Birthday,"" you notice the front door open, as one wild-looking female enters the Blue Room.","בעוד כולם מאחלים לג'ק ""יום הולדת שמח,"" אתה מבחין בדלת הכניסה נפתחת, ואישה בעלת מראה ססגוני נכנסת לחדר הכחול.",""
"34.0","7.0","%m64, a dancer from the local ""Rent-A-Gag"" business, enters the room, dressed in a grass skirt and balloons!","%m64, רקדנית מהעסק המקומי ""בידור להשכרה"", נכנסת לחדר, לבושה בחצאית דשא ובלונים!",""
"34.0","8.0","You relax and enjoy the selection ""My Eyes Cross With Your Touch.""","אתה נרגע ונהנה מהבחירה ""עיניי הצטלבו במגעך.""",""
"34.0","9.0","You select the latest in love songs, ""I Shoulda Bought A Monkey To Take Your Place.""","אתה בוחר את שיר האהבה ההיסטרי, ""הייתי קונה קוף שימלא את מקומך.""",""
"34.0","10.0","You select that old instrumental classic ""My Nostrils Slam Shut When You Breathe.""","אתה בוחר בשיר קלאסי ישן ""נחיריי נאטמים כשאת נושמת.""",""
"34.0","11.0","In a depressed, slurred voice, Jack speaks to you...","בקול רוטט ושבור, ג'ק מספר לך...",""
"34.0","12.0","""Sonny, I really do appreciate you nailing that filthy scum bag pusher, but I'm afraid it might be too late.""","""בני, אני כל כך מודה לך על ששמת את החלאה מאחורי סורג ובריח, אך לצערי זה כנראה מאוחר מדי.""",""
"34.0","13.0","""My daughter, Kathy, is in the Intensive Care Ward over at Lytton General Hospital!"" he explains. ""She's in a coma from a drug OD! There's nothing I can do!""","""ביתי, קאת'י, נמצאת במחלקה לטיפול נמרץ בבית החולים הכללי בלייטון!"" הוא מסביר. ""היא שרויה בתרדמת ממנת יתר של סמים! אין שום דבר שאני יכול לעשות!""",""
"34.0","14.0","""Oh, Sonny! There's nothing anyone can do!!""","""הוי, בני! אני אובד עצות לחלוטין!!""",""
"34.0","15.0","""That's it for me, Sonny. I'll see you later.""","""אני סיימתי, בני. נתראה מאוחר יותר.""",""
"34.0","16.0","Jack motions you to the chair on his left.","ג'ק מסמן לך לשבת לשמאלו.",""
"34.0","17.0","This table is occupied.","השולחן תפוס.",""
"34.0","18.0","Move closer to the chair.","תתקרב יותר לכיסא.",""
"34.0","19.0","Jack says, ""I can't hear you, Sonny. Come over here"".","ג'ק אומר, ""אני לא מצליח לשמוע אותך, בני. בוא לכאן.""",""
"34.0","20.0","Keith pipes up, ""Ohm'gosh, Sonny! Did you forget? We swapped shifts last week! You're due at the station for swing shift briefing in fifteen minutes!""","קית' צווח, ""הוי לא, בני! שכחת? החלפנו משמרות שבוע שעבר! עליך להתייצב בתחנה לתדריך החלפת משמרות תוך רבע שעה!""",""
"34.0","21.0","""You'd better get moving, boy!""","""כדאי שתזיז את עצמך, ילד!""",""
"34.0","22.0","The bartender says, ""For your information, Sonny, I have a cab on the way for Jack.""","הברמן אומר, ""לידיעתך, בני, הזמנתי מונית בשביל ג'ק.""",""
"34.0","23.0","This is ""The Blue Room"", a popular lounge for cops. Behind the bar stands the owner, retired LPD officer Bobby Lopez.","זהו ""החדר הכחול"", טרקלין פופולרי לשוטרים. מאחורי הבר עומד הבעלים, שוטר בדימוס בובי לופז.",""
"34.0","24.0","Please don't sit here.","בבקשה אל תשב כאן.",""
"34.0","25.0","escaped","נמלט",""
"34.0","26.0","been released","שוחרר",""
"34.0","27.0","Morgan wants to see you back in his office, ASAP!","מורגן רוצה לראות אותך אצלו במשרד, בדחיפות!",""
"34.0","28.0","There is a city-wide dragnet out on him right now and...","מתנהל אחריו מצוד בכל רחבי העיר ברגעים אלה ו...",""
"34.0","29.0","""%m27""","""%m27""",""
"34.0","30.0","You are looking at the latest in jukeboxes. This machine features a one-touch, fully-automated selection system.","אתה צופה כרגע במילה האחרונה בתחום תיבות הנגינה. המכונה הזאת מציגה מערכת בחירה אוטומטית לחלוטין בלחיצת כפתור אחת.",""
"34.0","31.0","Its sound system features light amplification by stimulated emissions of radiation...","מערכת השמע כוללת מערכת הגברת אור עלי ידי פליטה מואצת של קרינה...",""
"34.0","32.0","...and fully-computerized, video reproductions of your favorite artists, which thankfully are inoperative at this time!","...והעתקי וידאו ממוחשבים לחלוטין של האמנים האהובים עליך, שלמרבה המזל אינם פעילים כרגע!",""
"34.0","33.0","In her most seductive voice, %m64 whispers, ""Here's a little something so you'll have a happy birthday, Jack, baby!""","בקול המפתה ביותר שלה, %m64 לוחשת, ""הנה משהו קטן שיעשה לך שמח ביום הולדת, ג'ק, מותק!""",""
"34.0","34.0","""Wow!""","""וואו!""",""
"34.0","35.0","Keith says, ""Well, Jack, you ol' codger. What did you think of %m64?""","קית' אומר, ""ובכן, ג'ק, ברנש קטן. מה חשבת על %m64?""",""
"34.0","36.0","""You know, Keith,"" Jack answers, ""I think I'll ask Santa to put her under my tree this year.""","""אתה יודע, קית',"" עונה ג'ק, ""אני חושב שאבקש מסנטה לשים אותה מתחת לעץ שלי השנה.""",""
"34.0","37.0","Jack invites you to join him, ""Hi, Sonny. Come on over here, and have a seat.""","ג'ק מזמין אותך להצטרף אליו, ""הי, בני. בוא להנה, קח כיסא ושב בבקשה.""",""
"34.0","38.0","""See you later, Sonny. I have business to take care of.""","""נתראה בהמשך, בני. יש לי כמה עניינים לטפל בהם.""",""
"34.0","39.0","Jack speaks, ""Boy, what a depressing day I've had today, Sonny!""","ג'ק מספר, ""בחיי, איזה יום מעפן היה לי היום, בני!""",""
"34.0","40.0","""Hey, Keith!"" you say. ""How's it goin'?""","""היי, קית'!"" אתה אומר. ""איך הולך?""",""
"34.0","41.0","""Oh, my God!""","""אלוהים אדירים!""",""
"34.0","42.0","""Happy Birthday, Jack.""","""יום הולדת שמח, ג'ק.""",""
"34.0","43.0","Jack says, ""Oh, no! Now what?!""","ג'ק אומר, ""הוי לא! מה עכשיו?!""",""
"34.0","44.0","You say, ""It's time to stand up and face the music, Jack!""","אתה אומר, ""הגיע הזמן לקום ולהתעמת פנים אל פנים עם המוזיקה, ג'ק!""",""
"34.0","45.0","You enter the Blue Room and see Jack seated at a table. He appears to be quite intoxicated.","אתה נכנס לחדר הכחול ורואה את ג'ק יושב ליד שולחן. הוא נראה שיכור כלוט.",""
"34.0","46.0","Jack says, ""Have a sssheat, Sssshonny.""","ג'ק אומר, ""שששב, בבבני.""",""
"34.0","47.0","Trying to cheer Jack, you tell him about the Victor Simms arrest and how he was responsible for selling dope at the high school.","בניסיון לעודד את ג'ק, אתה מספר לו על מעצרו של ויקטור סימס שהיה דילר הסמים הראשי בבית ספר התיכון.",""
"34.0","48.0","It seems to be a happy, but quiet, group.","הם נראים קבוצה שמחה, אך שקטה.",""
"34.0","49.0","""Ain't it great! Some big-city lawyer shows up and, pop, out he goes.""","""פשוט נהדר! איזה עורך דין צמרת מופיע והופ, הבחור משתחרר.""",""
"34.0","50.0","This couple is so engrossed in conversation they don't hear you.","הזוג הזה כל כך שקוע בשיחה שהם לא שומעים אותך.",""
"34.0","51.0","""I sure would love to stretch the neck of that sorry dope-pushing scum-sucker that hurt my little girl!""","""בהחלט שהייתי שמח לשחוט את הסוחר סמים הבן אלף הזה שפגע בילדה הקטנה שלי!""",""
"34.0","52.0","The cab driver shouts out, ""Hey, who called for the taxi?""","נהג המונית צועק, ""היי, מי הזמין פה מונית?""",""
"34.0","53.0","The cabby says, ""Right this way, Buddy Boy, and don't fall down!""","הנהג אומר, ""מכאן, חבריקו, ותיזהר לא ליפול!""",""
"34.0","54.0","""Whew, man! Is this boy in bad shape!""","""וואו, אחי! הבחור הזה במצב ממש גרוע!""",""
"34.0","55.0","""I'm sorry to have to tell you this, Sonny,"" says Keith, ""but I have some bad news for you!""","""צר לי שעלי לבשר לך את זה, בני,"" אומר קית', ""אבל יש לי חדשות רעות בשבילך!""",""
"34.0","56.0","""Lieutenant Morgan sent me over here to advise you that your boy, %s2, has %s3 from jail.""","""המפקח מורגן שלח אותי לכאן לעדכן אותך שהבחור שלך, %s2, %s3 מהכלא.""",""
"34.0","57.0","""%s2 jumped a guard, then made it to the exercise yard, where he escaped by climbing over the fence.""","""%s2 קפץ על סוהר, רץ עד חצר הטיולים, ומשם נמלט בטיפוס על הגדר.""",""
"34.0","58.0","""There is a city-wide dragnet out on him right now! %m27""","""מצוד ענק מתנהל אחריו ברגעים אלה בכל רחבי העיר! %m27""",""
"34.0","59.0","For some reason, they're ignoring you.","מסיבה כלשהי, הם מתעלמים ממך.",""
"34.0","60.0","""Hello, Bonds!""","""שלום, בונדס!""",""
"34.0","61.0","""Hi Sonny! Long time, no see.""","""הי בני! הרבה זמן שלא התראינו.""",""
"34.0","62.0","""Well! If it ain't Super Cop Bonds!""","""ובכן! מי אם לא שוטר-על בונדס!""",""
"34.0","63.0","On the walls is Bobby's personal collection of photographs, taken when he was still with the Department.","על הקירות נראים אוסף התמונות הפרטי של בובי, שצולמו כשעוד היה במחלקה.",""
"34.0","64.0","Hoochy Coochy Hannah","חנה הוצ'י קוצ'י",""
"34.0","65.0","Taselli","טסלי",""
"34.0","66.0","Hoffman","הופמן",""
"34.0","67.0","""Good, Sonny,"" he replies.","""יופי, בני,"" הוא משיב.",""
"34.0","68.0","Try sitting down first.","נסה לשבת קודם.",""
"34.0","69.0","""Hey, Bobby,"" you shout, ""what's the word?""","""היי, בובי,""אתה מכריז, ""מה חדש?""",""
"34.0","70.0","""Nothing 'round here, baby,"" he replys.","""הכל חרגיל, מותק,"" הוא מגיב.","בכוונה חרגיל ולא כרגיל?
אכן."
"35.0","1.0","From a distance you hear, ""We've got your number, Pig!""","ממרחק אתה שומע, ""יש לנו את המספר שלך, חזיר!""",""
"35.0","2.0","This is the front entrance of Carol's Caffeine Castle, and the ""lovely"" Wino Willy's Cocktail Lounge.","זאת הכניסה הראשית לקפה כפרה רקפת, ולטרקלין הקוקטיילים ה""נפלא"" יששכר השיכור.",""
"35.0","3.0","You see a beautiful, blue, cloudless sky.","אתה רואה שמים בהירים, כחולים, יפהפיים.",""
"35.0","4.0","You see an oil-stained asphalt street, bordered by a hot concrete sidewalk.","אתה רואה כביש אספלט עם כתמי שמן, תחום במדרכות בטון לוהטות.",""
"35.0","5.0","As you peer in the window, you see a couple of Carol's patrons giggling and pointing out at you.","כשאתה מציץ מהחלון, אתה רואה זוג סועדים מצחקקים ומצביעים עליך.",""
"35.0","6.0","Looking in the window, you see Carol waiting on some customers.","אתה מסתכל פנימה מבעד לחלון, ורואה את רקפת מגישה ללקוחות.",""
"35.0","7.0","A quick scan of your partner's patrol car interior clearly shows he is not in it.","סריקה מהירה של החלל הפנימי בניידת של שותפך לסיור מעלה כי הוא אינו בתוכה.",""
"35.0","8.0","When the department bought these cars, they had a choice between comfort and power. They picked comfort.","כשהמחלקה רכשה את הרכבים, הם נאלצו לבחור בין נוחות לעוצמה. הם בחרו בנוחות.",""
"35.0","9.0","You wonder if Carol's designer once worked for a cab company!","אתה תוהה אם המעצב של רקפת עבד פעם בחברת מוניות!",""
"35.0","10.0","The new, red, brick facade at Wino Willy's sure dresses up an otherwise depressing joint!","חזית הלבנים החדשה והאדומה ביששכר השיכור יוצרת אשליה דמיונית של מקום שמח!",""
"35.0","11.0","Your partner's car is locked.","מכונית שותפך נעולה.",""
"35.0","12.0","Oooops!","אווופס!",""
"35.0","13.0","Somebody is gonna have to answer to four angry people!","מישהו יצטרך לתת תשובות לארבעה אנשים נרגזים!",""
"35.0","14.0","Parked in front of Carol's are four bad-news motorcycles.","בחניה מול רקפת חונים ארבעה אופנועים רוחשי רעות.",""
"35.0","15.0","You can't see through translucent glass.","אינך יכול לראות דרך זכוכית שקופה למחצה.",""
"35.0","16.0","Get closer.","התקרב.",""
"35.0","17.0","The plates on these hogs appear to be currently registered.","הלוחיות על גבי האופנועים נראות בעלי רישוי תקף.",""
"35.0","18.0","Forget it!","שכח מזה!",""
"35.0","19.0","You radio dispatch and request checks on the license plates.","אתה משדר למוקד ומגיש בקשה לבדיקת לוחיות הרישוי.",""
"35.0","20.0","Your radio sings out, ""%m23 All plates are clear and currently registered.""","מכשיר הקשר שלך מזמר, ""כל הלוחיות נקיות ובעלי רישיון תקף.""",""
"35.0","21.0","""%m27 copies %s3 at Carol's Caffeine Castle.""","""%m27 עבור %s3 בקפה כפרה רקפת.""",""
"35.0","22.0","""%m23 %m27 copies 10-8.""","""%m23 %m27 עבור 10-8.""",""
"35.0","23.0","83-32,","83-32,",""
"35.0","24.0","You key your radio, ""%m27, %m23 complaint resolved.""","אתה מזמזם במכשיר הקשר, ""%m27, התלונה של %m23 נפתרה.""",""
"35.0","25.0","35704.0","35704.0","צריך לתקן פה את המקור. מניח שלא היה בעברית"
"35.0","26.0","44387.0","44387.0","צריך לתקן פה את המקור. מניח שלא היה בעברית"
"35.0","27.0","Dispatch","מוקד",""
"36.0","1.0","Carol says, ""Hello, Sonny! Have a seat. I'll bring your daily coffee fix right over.""","רקפת אומרת, ""שלום, בני! אתה יכול לשבת. אני כבר מגישה לך את הקפה היומי שלך.""",""
"36.0","2.0","Can't you see someone is already sitting here?","אתה לא רואה שמישהו כבר יושב כאן?",""
"36.0","3.0","Come on now, you don't want to sit on the floor.","בחייך, אתה לא רוצה לשבת על הרצפה.",""
"36.0","4.0","Where?!","איפה?!",""
"36.0","5.0","Carol yells at you from across the room. ""Officer Bonds, there's a Detective Hamilton on the phone for you.""","רקפת שואגת אליך מהצד השני של החדר. ""השוטר בונדס, הבלש המילטון רוצה אותך בטלפון.""",""
"36.0","6.0","You take the phone and hear, ""Bonds, this is Detective Hamilton. We identified the 187 victim in the car as Lonny West, a local, small-time drug dealer. Believe it or not, he's the second small-timer to get his ticket punched in the last two weeks.""","אתה חוטף את הטלפון מידיה ושומע, ""בונדס, מדבר הבלש המילטון. זיהינו את קורבן 187 מהמכונית כלוני ווסט, סוחר סמים מקומי בקנה מידה קטן. תאמין או לא, הוא דג הרקק השני שסגר את הבסטה בשבועיים האחרונים.""",""
"36.0","7.0","""I just wanted you to know about West since you worked the scene. Gotta run, got another call waiting. Don't spend the whole day drinking coffee!""","""רק רציתי שתדע אודות ווסט מאחר ואתה עבדת בזירה. חייב לרוץ, ממתינה לי עוד שיחה. אל תבזבז את כל היום על שתיית קפה!""",""
"36.0","8.0","Steve says, ""Well, guess it's time to get back to the business of crime fighting!""","סטיב אומר, ""ובכן, כנראה שהגיע הזמן לחזור לעסקי המלחמה בפשע!""",""
"36.0","9.0","Carol has rigged this old pay phone so local calls are free.","רקפת חיבלה בטלפון הציבורי כך ששיחות מקומיות לא עולות כסף.",""
"36.0","10.0","This is your favorite coffee shop. Carol, the busy, but friendly, waitress, makes the strongest coffee in town. There is a menu on the left wall and a telephone on the far wall. The restroom is down the hall from the phone.","זהו בית הקפה האהוב עליך. רקפת, המלצרית העסוקה והחביבה, מכינה את הקפה הכי חזק בעיר. יש תפריט על הקיר השמאלי וטלפון על הקיר ממול. השירותים נמצאים בהמשך המסדרון אחרי הטלפון.",""
"36.0","11.0","Carol sets your coffee down and says, ""Here you go, Big Boy. One caffeine I.V.""","רקפת מניחה את הקפה על השולחן ואומרת, ""בבקשה, מר בחור. אחד עירוי קפאין.""",""
"36.0","12.0","There's lots of ketchup, pickles, onion, and fries on the side -- but there's not a lot of meat!","יש הרבה קטשופ, חמוצים, בצל, וצ'יפס בצד -- אבל אין הרבה בשר!",""
"36.0","13.0","Carol is a very busy woman.","רקפת היא אישה מאד עסוקה.",""
"36.0","14.0","You are now in the restroom.","אתה עכשיו בשירותים.",""
"36.0","15.0","Steve says, ""You'd better not keep Detective Hamilton waiting on the phone, boy.""","סטיב אומר, ""כדאי מאוד שלא תייבש את החוקר המילטון בטלפון, ילד.""",""
"36.0","16.0","""Hey, Sonny! It's good to see you.""","""היי, בני! טוב לראות אותך.""",""
"36.0","17.0","""Boy, this weather's been great!""","""וואו, איזה מזג אוויר נפלא!""",""
"36.0","18.0","You can't reach the phone from here.","אתה לא יכול לגשת לטלפון מכאן.",""
"36.0","19.0","The empty paper towel dispenser hangs over the sink.","מתקן מגבות נייר ריק תלוי מעל הכיור.",""
"36.0","20.0","The white porcelain sink is clean enough for who it's for!","כיור החרסינה הלבן יחסית נקי עד כמה שזה אפשרי!",""
